Date,Close,High,Low,Open,Volume,ZP,TP,NI,PD,MG,KK,YP,HP,XC,CC,XL,IU,OD,SQ,EP,DR,YU,DH
2026-07-13,2150.0,2180.0,2110.0,2180.0,9300,0.0,0.0,0.0,0.0,0.0,-0.0,0.0043,0.0,0.0,0.0075,0.0006,0.0,0.007,-0.0194,0.0,0.0,0.0,0.0
2026-07-14,2180.0,2190.0,2150.0,2180.0,5800,0.0,0.0,0.0,0.0002,-0.0045,0.0,-0.0004,0.0009,0.0009,0.0,0.006,0.0,-0.0011,-0.002,0.0,0.0,0.0,0.0
2026-07-15,2200.0,2260.0,2160.0,2170.0,20000,-0.0,0.0,0.0,-0.0021,0.0,-0.0004,0.0019,0.0004,0.0004,0.0002,-0.0024,0.0,0.0,0.0017,-0.0003,0.0005,0.0,0.0
2026-07-16,2220.0,2220.0,2190.0,2200.0,7700,-0.0007,0.0,0.0,0.0,-0.0047,-0.0004,-0.0031,0.0002,-0.0011,0.0042,-0.0022,0.0051,0.0037,-0.0011,0.0,0.0,0.0,0.0
2026-07-17,2240.0,2250.0,2180.0,2220.0,11500,-0.0112,0.0002,-0.0009,-0.0,-0.0056,-0.0004,-0.0007,0.0002,0.0004,-0.0002,0.0182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,2270.0,2280.0,2240.0,2240.0,23300,-0.0011,0.0,0.0,-0.0014,-0.0253,0.0,-0.0023,0.0002,0.0082,-0.0002,0.0196,0.0,0.0007,0.0016,0.0,0.0,0.0,0.0
2026-07-21,2250.0,2250.0,2180.0,2250.0,25900,-0.0,0.0,0.0003,0.0011,-0.0002,-0.0,0.0,0.0,0.0191,-0.0005,0.0041,0.0,0.0,0.0004,0.0,-0.0007,-0.0034,-0.0203
2026-07-22,2270.0,2270.0,2230.0,2250.0,7200,0.0,0.0,0.0023,0.0,-0.0025,0.0,-0.0061,0.0,-0.0005,-0.0045,0.0117,0.0,0.0,0.0,0.0,0.0,-0.0005,0.0
2026-07-23,2260.0,2270.0,2210.0,2270.0,12500,0.0004,0.0002,0.0068,-0.0011,-0.0223,0.0005,0.0,0.0002,0.0029,0.0002,0.0124,0.0,0.0,0.0002,0.0,0.0,-0.0005,0.0
2026-07-24,2250.0,2250.0,2210.0,2210.0,1200,-0.0002,0.0,0.0,0.0,0.0,0.0,0.002,0.0002,-0.0002,0.0,-0.0015,0.0,0.0,-0.0002,0.0,0.0,0.0,0.0
