Date,Close,High,Low,Open,Volume,CP,XL,CC,PD,DR,YP,EP,AG,KK,AT,XC,SQ,TP,OD,YU,ZP,YB,LG,HD,GR,NI,AO,DH,CD,AK,DP,KI,AZ
2026-07-13,720.0,730.0,715.0,730.0,152600,0.0,0.0007,0.0257,0.0002,0.0,0.029,0.0,0.0,0.0004,0.0,0.0001,0.0001,0.0,0.0013,-0.0931,0.0001,0.0,-0.0099,0.0,0.0305,-0.0001,0.0,0.0,0.0072,0.0,0.0,0.0004,0.0077
2026-07-14,730.0,730.0,715.0,720.0,156300,0.0,0.0043,0.0503,-0.0353,0.0001,-0.0185,0.0,0.0,0.0,0.0,-0.0012,0.0005,0.0,-0.0013,0.0,0.0001,-0.0004,0.0,-0.0,-0.009,-0.026,0.0367,0.0,-0.0004,0.0,0.0,0.0,0.0
2026-07-15,735.0,740.0,725.0,730.0,310600,0.0,0.0007,0.0641,0.0027,0.0003,0.1462,0.0,0.0,0.0,0.0,-0.0007,0.0004,-0.0003,0.0001,-0.0183,0.0001,0.0,-0.0012,-500.0,-0.0011,0.0,0.0,0.0001,-0.0072,-0.1626,-0.0232,0.0,0.0
2026-07-16,735.0,740.0,725.0,735.0,166300,0.0,0.0044,0.0833,-0.0,0.0007,-0.016,0.0,0.0,0.001,0.0,-0.0004,-0.0002,0.0,0.0,-0.0694,0.0075,0.0015,-0.0005,0.0,-0.0219,0.0078,0.0018,0.0003,0.0,0.0,0.0,0.0,0.0
2026-07-17,750.0,755.0,735.0,740.0,138800,-0.006,0.0449,0.0195,-0.0071,-0.0014,-0.0195,-0.0111,-0.0037,-0.0001,-0.0001,-0.0009,-0.0001,0.0002,0.0001,-0.0075,0.0001,-0.0064,-0.0007,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,745.0,760.0,740.0,745.0,115500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,735.0,760.0,720.0,750.0,606100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,730.0,750.0,730.0,735.0,214900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,730.0,740.0,725.0,735.0,295200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,715.0,730.0,715.0,730.0,365800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
