Date,Close,High,Low,Open,Volume,SS,CP,GR,XL,CC,YP,IF,KK,FS,AT,DX,SH,XC,LS,MU,HP,BK,MG,BB,YJ,PD,DR,XA,EP,AG,SQ,TP,OD,QA,BQ,AK,NI,YU,ZP,YB,KZ,LG,RB,HD,DH,CD,RG,FZ,AZ,KI,ES,RO,AR,OK,PC,MI,AI,BS,AO,SF,IH,BR,JB
2026-07-13,2410.0,2420.0,2350.0,2380.0,10203500,0.0,0.3117,-0.185,0.36,-1.8,-0.6069,0.714,-0.1217,0.0,-0.0648,0.0821,0.0,-0.3982,-0.0007,0.0007,0.0454,1.1,0.0033,0.0,-0.0045,-4.0,0.1334,0.0737,0.0496,-0.0223,-0.1086,-0.0414,0.0773,0.0,-0.0186,2.8,-0.3512,0.4461,1.0,0.4294,-0.2538,0.0444,0.0,0.0731,0.1515,-0.0048,0.0,-0.0012,-0.0293,0.0113,-0.0007,0.0212,0.0,0.0048,0.0014,0.0,-0.24,-0.024,0.0,-0.0003,0.0,0.24,0.0024
2026-07-14,2420.0,2450.0,2400.0,2430.0,8463100,0.0,0.0675,-0.0396,1.8,1.1,-0.5966,0.0124,0.0178,0.0,0.0915,0.1343,0.048,0.3881,0.0,0.0,-0.001,-0.6382,-0.0194,0.2834,-0.0143,0.5297,0.0411,-0.0058,0.1048,-0.0012,-1.5,-0.0172,0.6819,0.0049,-0.0521,-2.9,0.3296,-0.525,0.0445,0.7189,0.0,0.0692,0.0,-0.055,0.2001,0.0048,0.0,0.0,-0.1446,0.0162,0.0,0.0022,0.0,0.0,0.0,0.0,0.0181,0.0,0.0023,-0.0024,-0.0049,-0.243,0.0
2026-07-15,2420.0,2430.0,2390.0,2420.0,6308500,0.0,-0.0756,0.2465,1.6,-0.6463,0.4826,-0.0019,-0.5371,-0.0075,0.0095,0.0116,0.008,0.2038,0.0002,0.0,-0.0115,-0.1271,-0.0604,0.0,-0.0,0.8549,0.0229,-0.0195,-0.01,0.0,0.5032,0.005,0.5599,-0.0034,0.0159,2.6,-4.4,0.5776,-0.4096,0.0474,-1.8,0.0136,0.0,0.1114,-0.1117,-0.0111,0.0,0.0,0.3426,0.0376,0.0,0.007,0.0,0.0073,-0.0007,-0.0484,-0.0012,0.0002,0.0,0.0,0.0,0.0,0.0
2026-07-16,2420.0,2430.0,2400.0,2420.0,4940900,0.0,0.0073,0.0503,0.5106,1.0,0.6684,0.0046,0.4968,0.0,0.0128,-0.0226,0.0,0.4182,0.0,0.0,0.0258,0.3313,0.0,0.0,0.0726,-2.5,-0.0052,-0.0077,0.006,0.0692,-0.2491,-0.0,0.9379,-0.0039,0.7257,-2.0,-0.3593,0.0106,-0.1856,-0.0097,0.0,-0.0318,0.0,-0.0241,0.0989,0.0001,0.0005,0.0005,-0.0128,-0.0063,0.0007,-0.0082,-0.0311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,2410.0,2440.0,2400.0,2420.0,15088000,-0.0194,-0.1766,0.2434,1.2,5.7,0.8627,-0.0243,0.0796,0.017,0.0139,-0.0274,0.0241,0.9902,0.0181,-0.0007,1.2,5.6,0.0248,-1.3,0.232,-9.7,0.2929,0.0251,-0.0481,0.0409,1.5,-0.023,0.6683,-0.0044,0.0321,-5.2,0.3076,0.3579,-1.4,-0.0245,-2.1,0.0558,-0.0482,0.0249,0.3637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,2440.0,2450.0,2420.0,2420.0,13428700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,2420.0,2450.0,2410.0,2450.0,12797400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,2430.0,2450.0,2400.0,2420.0,9281500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,2440.0,2460.0,2420.0,2430.0,18558900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,2390.0,2440.0,2370.0,2440.0,12444000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
