Date,Close,High,Low,Open,Volume,HD,XL,PD,EP,XC,MG,CP,NI,HP,TP,BQ,AG,XA,AT,YP,CC,OD,KK,LG,QA,FZ,ZP,SQ,DH,GR,AZ,KI
2026-07-13,163.0,164.0,160.0,161.0,404700,0.0,0.0135,-0.0007,0.0,-0.0006,0.0,0.0,0.0,-0.0001,0.0,-0.0082,0.0,0.0,0.0001,-0.0027,-0.0009,-0.0001,0.01,-0.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,164.0,165.0,161.0,164.0,494100,-0.0,0.011,-0.009,0.0,-0.0034,0.0049,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,-0.0008,0.0003,-0.0023,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,-0.0005,-0.0
2026-07-15,166.0,169.0,162.0,164.0,400900,0.0,-0.0296,0.0029,0.006,0.0013,0.0037,0.003,0.0051,0.0037,0.0,0.0085,-0.0001,0.0,-0.0019,0.0008,-0.0009,0.0,0.0,0.0,-0.0001,0.0,0.0,-0.0025,0.0,0.0,0.0,0.0
2026-07-16,165.0,169.0,163.0,165.0,1395200,400.0,-0.0164,0.0042,-0.006,0.0028,-0.0076,0.0003,0.0017,0.0088,0.0,0.0,0.0001,-0.1649,-0.0008,0.0041,-0.0036,0.0005,0.0118,0.0,0.0001,0.165,-0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,165.0,171.0,165.0,167.0,546700,0.0,-0.0216,-0.0095,0.0039,-0.0061,0.0006,-0.0006,-0.0016,0.0047,-0.0,-0.0027,-0.0,-0.0001,-0.0001,0.0027,0.0297,-0.0012,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,163.0,168.0,163.0,168.0,623000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,165.0,166.0,163.0,163.0,1404000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,168.0,177.0,165.0,167.0,3165500,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,167.0,171.0,166.0,169.0,563000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,166.0,169.0,165.0,168.0,406300,,,,,,,,,,,,,,,,,,,,,,,,,,,
