Date,Close,High,Low,Open,Volume,BK,NI,RO,XA,HD,OD,YB,QA,DR,SQ,YP,HP,ZR,XC,KK,AK,LG,XL,AT,ZP,AI,TP,EP,DH,SF,PD,BQ,IF,AG,AZ,MG,KI,GR,CC,CP,YJ,FZ,YU,PC,LS,AO,CD
2026-07-13,106.0,107.0,103.0,107.0,25029200,0.003,-0.0094,0.0005,-0.0049,0.0,0.0027,0.0246,-0.0103,0.0212,-0.0963,0.0096,-0.0015,0.0,0.0437,0.0132,0.0777,0.0231,-0.209,0.0001,-0.006,-0.0001,0.0458,-0.0135,-0.0014,0.0,-0.0476,-0.0081,0.0,-0.0004,-0.0012,0.0,0.0015,-0.0003,0.1479,-0.0046,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,106.0,107.0,105.0,107.0,13255500,-0.003,-0.0235,0.0,0.0067,0.0,-0.0616,-0.0666,0.0,0.0079,-0.004,0.021,0.0038,0.0029,0.0103,0.0074,0.0697,-0.0001,0.144,0.0,0.0005,0.0,-0.05,0.0107,-0.0009,0.0,-0.0529,0.0023,0.0,0.0107,0.0004,0.0,0.0016,-0.0001,-0.047,0.0035,0.0,0.0,0.0,0.0,0.0008,0.0,0.0054
2026-07-15,106.0,114.0,105.0,106.0,48158300,0.0,-0.0288,-0.0004,-0.005,0.0,0.0027,0.0085,0.0006,-0.0225,0.0126,-0.0935,-0.0009,-0.003,-0.0981,0.0046,-0.1386,0.0009,0.2609,-0.0046,0.0183,-0.0001,-0.0032,0.0005,0.0487,0.0,0.0337,-0.0102,-0.0,-0.0266,0.0004,0.0013,0.0013,0.0,-0.0049,0.0517,0.0,0.0,0.0,-0.0052,-0.0009,-0.0005,0.0
2026-07-16,105.0,107.0,105.0,106.0,10821800,0.0,-0.0168,-0.0001,0.0064,0.0005,0.0039,-0.0,0.0,0.0168,-0.0122,0.0281,0.0,0.0216,-0.0269,-0.0157,-0.0071,-0.0347,0.0407,0.0127,-0.0116,-0.0001,0.0,-0.0004,0.0003,0.0,-0.0517,0.0315,0.0,0.0,0.0009,0.0,-0.0005,-0.0001,0.0337,-0.0198,-0.0,0.0006,0.0,0.0,0.0,0.0,0.0
2026-07-17,105.0,114.0,104.0,106.0,66865100,0.0072,0.0365,0.0068,-0.0118,-0.0,0.0082,0.0056,0.0021,-0.0148,0.0106,-0.0428,0.0628,-0.0046,-0.0438,0.032,0.0466,-0.0139,-0.1103,-0.0054,-0.0071,-0.0001,0.0262,-0.0029,-0.0553,-0.0,-0.0045,-0.0278,0.0016,0.0003,0.0,-0.0563,-0.0118,0.0166,0.1816,-0.0317,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,107.0,108.0,106.0,107.0,15090500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,109.0,110.0,106.0,110.0,19042600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,112.0,118.0,110.0,111.0,58547300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,112.0,115.0,111.0,112.0,23520800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,107.0,112.0,105.0,112.0,15718600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
