Date,Close,High,Low,Open,Volume,QA,YP,DR,OD,NI,XC,AT,KK,PD,XL,CC,YB,DH,RX,ZP,HD,FS,RO,SQ,AZ,BQ,TP,LG,GR,YU,XA,AG,IF,SF,MG
2026-07-13,328.0,328.0,320.0,326.0,43000,0.0,-0.0046,-0.0,0.0009,0.0005,-0.0036,0.0,0.0002,0.0052,0.0011,0.0002,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,332.0,334.0,320.0,328.0,205500,0.0,0.0065,0.0,-0.0002,0.0004,-0.005,-0.0003,-0.0003,0.002,0.0064,0.0141,0.0003,0.0,0.0146,0.0,0.0,-0.0001,0.0002,0.0002,0.0,0.0,0.0,-0.0061,-0.0323,-0.0006,-0.0,0.0001,0.0,0.0,0.0
2026-07-15,334.0,336.0,328.0,330.0,189800,0.0,-0.0134,0.0,0.0014,0.0001,-0.0092,0.0,-0.0059,-0.0004,-0.0059,0.0029,-0.0006,0.0,0.0405,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,-0.0001,-0.0098,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,344.0,348.0,332.0,334.0,170800,0.0,-0.0006,0.0,-0.0001,0.0008,-0.007,-0.0002,-0.0026,-0.0,-0.0093,-0.0129,0.0,-0.0001,0.032,-0.0003,0.0001,-0.0003,-0.0031,0.0007,0.0036,0.0,-0.0003,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,346.0,348.0,340.0,344.0,61300,0.0,-0.0009,0.001,0.0,0.0068,-0.0026,-0.0,-0.0011,0.0004,-0.0097,0.0063,-0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,348.0,350.0,344.0,346.0,30100,0.0001,0.0018,0.0,0.0001,0.0001,-0.0015,0.0,0.0,-0.0001,-0.0003,0.0003,0.0,0.0,0.0004,-0.0003,0.0,-0.0003,0.0,0.0,0.0,0.0,-0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-21,350.0,360.0,344.0,350.0,90600,-0.0001,-0.0,0.0017,0.0006,0.0,-0.0044,-0.0002,-0.0001,-400.0,0.0015,0.0052,-0.0014,-0.0001,-800.0,0.0,0.0,0.0,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0,-0.0001,-0.0,0.0,0.0,0.0,-0.0025
2026-07-22,344.0,354.0,340.0,352.0,169600,0.0003,0.0054,0.0,0.0015,0.004,0.0017,-0.0002,0.0,-0.0328,-0.0075,0.018,0.0,0.0,0.0064,0.0,0.0,0.0,-0.0003,0.0,0.0035,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2026-07-23,350.0,350.0,344.0,346.0,102100,0.0001,-0.0201,0.0,0.0036,0.0003,0.0039,0.0,0.0,-0.0007,-0.0013,0.0118,0.0014,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0
2026-07-24,346.0,348.0,340.0,348.0,58600,0.0,0.0006,0.0,0.0005,-0.0017,0.0009,0.0,-0.0001,0.0001,0.0013,-0.0022,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002,0.0,0.0
