Date,Close,High,Low,Open,Volume,XC,SQ,YU,YJ,QA,LG,AZ,XA,KK,CP,ZP,BB,AK,BK,DX,XL,YP,DH,RB,AI,OD,CC,SF,TP,YB,CD,II,IT,NI,BQ,IF,AO,GR,HP,HD,PD,DR,EP,TF,PO,LS,KI,AG,SS,MG,RF,PG,RO,RS,PP,AT,ES,KZ
2026-07-13,7375.0,7375.0,7275.0,7325.0,1967000,0.1064,-4.8,0.8921,0.0,0.0,0.0775,0.0655,0.3,-0.2562,0.8445,-0.1698,2.4,-1.6,1.4,0.1215,0.4218,-0.0628,-0.2403,0.0,0.0,0.0553,0.3821,0.0,-0.0409,-0.0364,0.0,0.0,0.0,-0.0157,0.0597,0.0147,-0.5395,0.0124,0.1004,0.0176,0.0857,-0.2816,0.0,0.0,0.0,-0.0007,1.7,-0.0044,0.0,0.0,0.0,0.0,0.0014,0.0,0.0,0.0015,0.0,-1.1
2026-07-14,7450.0,7550.0,7375.0,7450.0,2044100,0.1966,0.4312,1.2,-0.0293,0.0,0.0132,0.2492,-0.4398,0.3345,-0.8015,-0.1294,0.0,0.8222,-0.0534,0.0,-0.9903,-0.493,-0.0094,0.0,0.0,0.0583,-0.4633,0.0,-0.2825,0.0286,0.0,0.0,0.0,0.0516,-0.0745,0.1494,0.0,-0.653,-0.0214,0.0274,0.032,1.1,-0.0097,0.075,0.0,0.0,-0.7414,-0.0015,0.0,0.2222,0.0,0.0,-0.0045,0.0,0.185,-0.0074,-0.0004,0.0
2026-07-15,7425.0,7525.0,7300.0,7450.0,2651900,-0.1085,-0.5221,-1.0,0.0,0.0,1.3,0.141,0.2074,0.1741,-0.0415,1.8,-5.5,-0.0482,0.1815,0.0207,0.7338,0.131,0.4945,0.0,0.0,-0.4698,0.933,0.0,-0.0255,0.0644,0.8325,0.0,0.0,0.1131,0.0476,0.0044,0.0,0.3725,0.1897,0.0214,0.3644,0.1039,-0.09,0.0,-0.0743,0.0,-0.5485,0.0,0.0,0.043,0.0,0.0,0.0081,0.0074,0.1825,0.0,0.0,0.0
2026-07-16,7800.0,7900.0,7375.0,7425.0,5480000,-0.4591,-2.4,0.8843,0.0704,0.0,-0.9183,0.4217,-0.5681,-0.3071,-1.1,5.7,0.0,6.6,0.3611,0.0,-1.3,-2.3,-0.6868,0.0,0.0586,1.3,-1.8,0.0,0.3731,-0.1218,0.0,0.0,0.0,-0.8442,-0.0745,-0.1166,-0.2733,-3.0,0.4401,0.0426,2.7,0.4426,-0.4654,-0.0783,-0.312,-0.1565,-0.0727,-0.0548,-1.6,-0.1408,0.0094,-0.1515,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,7625.0,7850.0,7625.0,7825.0,3942600,-0.0429,0.1447,0.1255,0.0398,-0.0,-2.4,0.9728,-0.0134,-0.0687,0.1204,6.2,-2.3,-8.2,3.9,0.1035,1.1,1.2,0.495,0.0381,-0.0887,-0.1115,-3.6,0.0692,0.0375,0.0579,0.0385,0.0234,0.077,0.6664,0.077,-0.1094,-0.1943,0.4812,0.0469,0.0772,0.96,0.0822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,7800.0,7850.0,7625.0,7625.0,3873800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,7875.0,7925.0,7700.0,7825.0,5169500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,7875.0,7975.0,7800.0,7875.0,3954200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,7725.0,8075.0,7675.0,7875.0,6233600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,7675.0,7750.0,7550.0,7700.0,3926300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
