Date,Close,High,Low,Open,Volume,Sektor,Sub_Sektor,HD,BB,PD,YU,XL,EP,XC,SQ,MG,CP,TP,LG,HP,KI,RO,RG,DX,XA,QA,GR,YB,SH,CC,IF,KK,DH,AZ,NI,BQ,BK,AG,KZ,AT,YJ,IH,ZP,YP,AK,AR,OD,DR,AD,CD,ES,AI,IU
2026-07-13,1545.0,1560.0,1525.0,1540.0,8634400,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,0.0011,2.6,0.2202,-1.2,1.1,0.0233,0.7295,-0.3193,0.0,0.0776,-0.0455,0.244,0.0062,0.0369,0.0015,0.024,0.0041,0.121,0.0,0.0687,0.0556,-0.0008,-0.1539,0.0,0.1848,-0.0152,0.0075,0.7933,0.1149,0.1883,-0.0018,-2.8,0.0135,0.0,0.0,-1.7,0.3415,-0.7183,0.0,-0.0281,0.0166,0.0,0.0,0.0,-0.0233,0.0056
2026-07-14,1565.0,1580.0,1535.0,1560.0,11770000,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,0.0398,0.1907,-0.1514,1.2,-0.4943,-0.0246,-0.4163,0.5496,0.0,-0.0911,0.4048,-0.2133,0.0028,-0.0281,0.0144,0.0157,0.0009,-0.0374,-0.0013,0.1112,-0.2439,-0.0016,-3.3,0.1565,-0.0699,0.0014,0.1885,6.0,0.0648,-0.0871,0.0,-4.6,0.0273,-0.008,0.0,-0.003,-0.1458,1.6,0.0,-0.4298,-0.1336,0.0,0.0,0.0,-0.0078,-0.0057
2026-07-15,1555.0,1570.0,1540.0,1550.0,10065100,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,-0.1237,1.8,1.5,-2.6,0.2166,0.0062,-0.1491,0.3654,-0.0,1.1,-0.1124,-0.0511,0.0016,0.0205,0.0636,0.0,0.0002,0.0,0.0,0.0009,0.0141,-0.0008,2.7,0.2023,0.3604,0.0,0.0003,0.3063,0.0023,0.536,-2.9,-4.6,0.0152,0.0003,0.0,0.1923,-0.2028,1.3,0.0,0.1619,-0.1137,0.0054,0.0,0.0,0.0,0.0
2026-07-16,1570.0,1585.0,1540.0,1555.0,22743400,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,0.3036,2.3,6.6,-0.3535,-0.1564,0.0254,0.1229,0.2425,0.0,-0.9729,0.0,-0.1367,-0.007,-0.0816,0.039,-0.0088,-0.0005,0.0165,0.0002,0.0083,0.0509,-0.0,1.5,0.0,1.1,0.0017,0.6247,-0.2741,0.1424,1.4,0.0047,-3.8,0.0051,-0.0002,0.0,-9.8,-0.2216,1.6,0.0,0.0534,0.0075,-0.0055,0.0008,-0.273,-0.0019,0.0
2026-07-17,1575.0,1595.0,1550.0,1570.0,11698700,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,-0.2966,-0.9279,-3.0,0.0075,-0.0847,-0.0152,-0.0331,0.6107,0.1583,-0.0963,0.0771,-0.1597,-0.0046,0.4462,0.0561,-0.0016,-0.0071,0.0013,0.0001,0.2989,-0.0191,-0.0016,4.1,-0.061,0.0253,-0.0026,0.0075,0.3057,-0.0803,1.1,-1.2,-1.6,0.0645,-0.0415,0.0781,0.6791,-0.0272,-0.7221,0.0476,0.1915,0.0251,0.0,0.0,0.0,0.0,0.0
2026-07-20,1595.0,1615.0,1575.0,1600.0,13340500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,1610.0,1625.0,1595.0,1595.0,17366800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,1630.0,1680.0,1595.0,1610.0,22724500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,1725.0,1745.0,1630.0,1635.0,24864200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,1725.0,1730.0,1660.0,1725.0,22786200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
