Date,Close,High,Low,Open,Volume,BB,CD,CP,GR,XL,CC,PD,DR,YP,EP,XA,KK,AG,FS,ES,AI,XC,SQ,OD,QA,AK,FZ,NI,YU,AZ,ZP,YB,LG,BR,RB,BK,RO,DH,YJ,PP,IF,HD,AT,DX,DP,TP,BQ,PC,MG,SF,HP,KI,KZ,RG,LS,MU,GI,BS
2026-07-13,384.0,386.0,378.0,380.0,11898000,0.0,0.0034,-0.0003,0.0757,0.0019,-0.8622,0.1145,-0.0631,-0.005,0.0037,-0.0003,0.059,-0.0009,-0.0077,0.0,0.0,-0.26,0.0919,-0.0231,0.0207,0.0505,0.0,0.0544,-0.0031,-0.0148,0.4455,-0.0117,-0.0162,0.0,0.0,-0.854,-0.0085,0.0692,-0.0011,0.0,-200.0,-0.003,0.0023,0.003,0.0,0.0,-0.0013,-0.0001,0.0,0.0034,0.0,0.0006,0.0,-0.0048,1.1,0.0001,-0.0011,-0.0038
2026-07-14,388.0,390.0,380.0,382.0,9162300,0.0,0.003,-0.0002,-0.3772,0.3165,-0.4158,0.0008,-0.064,-0.0819,0.0234,-0.0002,0.0253,-0.0019,-0.0154,0.0,-0.0001,-0.0512,-0.0176,0.0024,0.0265,0.1139,0.0,0.0215,-0.0002,0.0047,0.522,0.0037,-0.1349,0.0,0.0,0.116,0.0046,-0.0303,-0.0039,0.0,0.0009,-0.0005,0.0026,0.006,0.0,-0.0012,0.0012,0.0002,0.0,-0.0033,0.0,-0.0011,0.0,0.0012,0.0042,0.0,0.0,0.0
2026-07-15,386.0,388.0,384.0,388.0,7345900,-0.0093,0.0038,0.0011,0.02,0.9394,-0.6258,0.0599,-0.0069,0.0623,-0.2271,-0.1167,0.0656,-0.0005,0.0,0.0,-0.0753,0.079,-0.1104,0.0363,0.0,0.0053,0.0,0.0195,0.0193,0.0091,0.1823,0.0161,0.0039,0.0,0.0,-0.074,0.0061,0.0133,0.0,0.0,0.0026,0.0025,0.0039,0.0005,0.0,-0.0008,0.0,-0.0001,0.192,0.0019,-0.0,0.002,-0.5018,0.0,0.0,0.0,0.0,0.0
2026-07-16,384.0,388.0,384.0,386.0,11667900,0.0,0.0031,0.0009,0.0182,1.5,-0.242,0.0702,0.0138,0.2133,0.0014,0.0025,0.4954,-0.0007,0.0,0.0,0.0,-0.0071,0.0331,0.2514,0.003,-1.6,-0.0019,0.0244,-0.4261,0.0076,-0.5919,-0.0,0.0,0.0,0.0,-0.2334,0.0007,0.0032,0.0096,0.0286,0.0005,-0.0044,0.0016,-0.0023,-0.0448,0.0005,0.3235,0.0093,0.2114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,380.0,384.0,378.0,384.0,24388700,-0.1815,0.0114,0.0148,0.4918,1.7,0.3868,0.333,0.2855,0.0575,0.1054,-0.0031,0.2874,-0.0005,-0.0152,0.0114,0.0101,0.2366,0.1655,0.2748,0.0103,-3.7,0.1558,0.1008,0.0515,0.0273,0.4074,-0.0258,0.0773,0.0397,-0.0004,-1.5,0.0097,0.1515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,380.0,386.0,378.0,380.0,21825300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,378.0,380.0,376.0,380.0,23878800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,376.0,380.0,374.0,380.0,29421500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,374.0,380.0,374.0,378.0,52945300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,372.0,376.0,368.0,376.0,22321700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
