Date,Close,High,Low,Open,Volume,XC,LG,XA,AZ,AT,AK,EP,RB,YP,DH,CC,SF,YB,NI,QA,SQ,YJ,RO,KK,LS,CP,ZP,KI,OD,BK,AG,XL,SS,TP,RG,RF,AO,GR,FS,HP,CD,PD,DR,YU,MG,BQ,IF,AI,DD,PC,BB,DX,FZ,TF
2026-07-13,216.0,222.0,208.0,218.0,5774900,0.0163,-0.0049,0.0,-0.0008,0.1753,0.0047,0.0098,0.0,-0.1337,0.0012,0.0218,0.0,0.005,0.0103,0.0,0.0271,0.0064,-0.0007,0.0197,0.0432,-0.0609,-0.0771,0.0001,0.0136,0.0024,0.0001,-0.0403,0.0,-0.0618,0.0,0.0,0.0,-0.1337,0.0002,-0.0025,0.0,0.1519,0.0021,0.0063,0.0,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001
2026-07-14,228.0,236.0,212.0,218.0,12793000,0.0322,-0.0454,-0.0587,-0.0006,0.1929,0.0394,-0.0484,0.0,-0.1393,-0.0197,-0.1212,0.0,-0.0244,-0.0936,0.0,-0.1939,0.0344,0.0,-0.0199,-0.0522,-0.129,-0.0128,-0.0037,-0.0697,0.0428,0.0023,-0.1565,-0.0006,0.2833,0.0,0.0,-0.0023,0.0013,0.0,-0.0021,-0.0068,0.4277,0.0011,-0.0131,0.0,0.0,0.0,0.0,0.0,-0.0002,-0.1901,-0.0006,0.3481,0.0
2026-07-15,224.0,236.0,218.0,230.0,10067100,-0.001,0.0148,0.0842,-0.0,0.1824,0.0096,-0.0027,0.0,-0.7038,0.0275,-0.2792,0.0,-0.016,0.0014,0.0,-0.0954,-0.0001,-0.0039,0.0596,0.0,0.0053,0.0044,0.0035,0.1073,-0.0153,0.0,0.1627,0.0,0.1774,0.0,0.0,-0.0023,0.0147,-0.0009,-0.0004,0.0067,0.2678,0.017,-0.0202,0.0023,0.0003,0.0,-0.0,-0.0075,0.0,0.0,0.0,0.0,0.0
2026-07-16,230.0,234.0,220.0,224.0,5427000,-0.0133,-0.0308,-0.058,0.0039,0.1357,0.0078,-0.0013,0.0,-0.185,-0.0221,-0.1072,0.0,-0.0068,-0.0006,-0.0001,-0.0191,-0.0265,0.0,-0.0714,-0.0047,-0.0079,-0.014,0.0,-0.0106,0.0,0.0,-0.0599,0.0,0.0676,0.0,0.0,-0.0005,-0.0002,0.0,0.0,-0.0069,0.4409,-0.0147,0.0081,-0.0023,-0.0001,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,240.0,244.0,234.0,236.0,6369100,-0.043,-0.061,0.0014,-0.002,0.0824,0.0242,-0.0317,0.072,-0.0836,-0.0798,0.0272,-0.0478,0.0083,-0.0165,-0.0001,-0.1256,-0.0372,-0.0066,0.0452,-0.0338,0.0042,0.0332,-0.0036,-0.1009,0.0236,-0.0947,0.0883,-0.0006,0.1152,-0.0017,-0.024,-0.05,-0.0108,-0.0005,-0.014,-0.0071,0.3965,-0.0451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,242.0,246.0,236.0,242.0,5251000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,244.0,248.0,236.0,242.0,5242500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,244.0,250.0,238.0,246.0,4269100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,242.0,248.0,238.0,246.0,5610400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,230.0,244.0,224.0,240.0,4145000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
