Date,Close,High,Low,Open,Volume,Sektor,Sub_Sektor,XC,YU,YJ,RO,LG,SQ,AZ,XA,KK,BS,ZP,OD,BK,EP,XL,YP,DH,DX,CC,AK,HP,MG,TP,YB,AR,BQ,RX,PG,NI,IF,OK,GR,SA,HD,PD,DR,MI,KZ,AT,PP,CP,BB,AG,SH,RG,CD,AI,PC,RB,RS,ES,QA,KI,DD
2026-07-13,6750.0,6825.0,6700.0,6775.0,6692300,Barang-Konsumen-Primer,Makanan-Minuman,0.1133,-0.017,-0.3318,0.0,0.7783,-0.5191,-0.3585,-0.0013,-0.0244,0.0,-2.6,0.0252,-0.3469,-0.1516,0.092,0.0202,-0.002,0.2149,11.6,-3.1,-0.002,0.0,0.0014,0.1444,0.0,0.0013,0.0,0.0,0.0871,0.0,0.0,-0.002,0.0,-1.3,-0.0376,-0.0014,0.002,-0.816,0.0041,0.0,-0.0473,0.0,-0.0027,0.0,-0.0002,0.0,0.0,0.0,-3.0,0.0,-0.34,-0.0014,0.0014,0.0074
2026-07-14,6775.0,6800.0,6725.0,6750.0,3274800,Barang-Konsumen-Primer,Makanan-Minuman,0.0515,-2.9,0.0,-0.0684,0.0041,0.4329,-0.0578,-0.1605,-0.0959,0.0,5.6,1.2,1.2,0.0088,0.1045,0.3192,-1.3,0.088,0.5634,1.6,-0.023,0.0013,0.9285,-0.0203,0.0,0.0041,-0.3549,0.0,0.4084,0.0068,-2.8,0.0196,0.0,0.0035,-0.1057,0.0061,0.002,-2.8,0.0047,0.0,-0.0034,-0.1863,-1.3,0.0,0.0,-0.0061,-0.0169,0.0007,-0.6775,0.6738,-0.3434,-0.002,0.0,0.0
2026-07-15,6750.0,6775.0,6725.0,6750.0,6437400,Barang-Konsumen-Primer,Makanan-Minuman,0.1634,0.0033,0.1179,0.0007,-0.0722,7.0,0.448,0.0007,0.3213,0.0,4.9,0.0818,0.0445,0.3718,-0.1697,-6.6,-0.002,0.0013,-18.7,-0.0786,-0.0249,0.0,18.9,0.0675,0.0,0.004,-0.1296,0.0,-0.3143,0.0068,0.0,0.0223,0.0,-0.0034,0.1037,0.0514,0.0,-0.5468,-0.002,0.0,0.0202,-6.0,0.1001,0.0,0.0,-0.05,-0.0338,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,6750.0,6775.0,6675.0,6775.0,4840400,Barang-Konsumen-Primer,Makanan-Minuman,0.0555,3.2,0.0403,-0.1283,-0.0003,0.028,0.0964,0.0027,-0.038,0.02,-2.8,1.2,0.2269,1.6,0.327,0.6939,-0.0357,-0.0237,-2.2,0.171,0.0,0.0027,0.0524,0.067,0.0,-2.5,0.0,-0.2873,0.4734,0.0,-5.6,0.0309,0.0,0.0,-0.0476,-0.2973,-0.002,1.5,-0.0013,0.0682,0.0274,1.3,-0.0013,2.7,0.0007,-0.0498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,6700.0,6750.0,6675.0,6750.0,4332200,Barang-Konsumen-Primer,Makanan-Minuman,0.3673,1.8,0.0442,0.0053,0.0387,-3.0,0.0972,0.0259,0.1248,0.02,9.3,-1.1,0.6418,0.3176,0.4787,0.9742,0.0114,-0.2673,1.0,-0.1826,0.0134,-0.0,1.2,0.3361,0.1005,0.0134,-10.9,-1.5,-0.4878,-0.181,-0.0473,0.2272,0.0673,0.0387,0.4102,-0.0442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,6800.0,6875.0,6725.0,6725.0,9576600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,6850.0,6900.0,6800.0,6875.0,6085000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,6900.0,6950.0,6825.0,6850.0,7297400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,6925.0,7000.0,6875.0,6950.0,7430400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,6850.0,6900.0,6775.0,6900.0,3847000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
