Date,Close,High,Low,Open,Volume,EP,HD,NI,PD,BQ,YB,MG,KI,PC,DR,KK,YP,ES,HP,XC,CC,XL,CP,RO,XA,OD,SQ,YU,LS,DH,AG,RG,IF,AZ,FZ
2026-07-13,146.0,146.0,141.0,142.0,434400,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0082,-0.007,0.0039,0.0,-0.0015,-0.0039,-0.0064,0.0168,0.0001,0.0,0.0,-400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0098,-0.0004
2026-07-14,148.0,149.0,145.0,146.0,549300,0.0009,-0.0,-0.022,0.0,0.0121,0.0,0.0044,-0.0,0.0,-0.0042,0.0053,0.0065,0.0,0.0,-0.0008,-0.001,-0.0138,0.0001,0.0,0.0,-0.0,0.0059,0.007,0.0,0.0,0.0,0.0,-0.0002,0.0,0.0
2026-07-15,147.0,158.0,144.0,150.0,3295300,0.0029,0.0002,-0.0045,0.0196,-0.0239,-0.0002,-0.0013,0.0,0.0,-0.0083,-0.0015,-0.0518,0.0,0.0,0.0007,-0.0131,0.0317,0.0417,0.0,0.0,0.0034,0.004,0.0,0.0,0.0003,0.0001,-0.0001,0.0,0.0,0.0
2026-07-16,150.0,155.0,143.0,148.0,3074300,-0.0038,0.2657,0.0114,0.0149,-0.001,0.0,-0.0068,0.0,0.0,0.0007,-0.0023,-0.0031,0.0,0.0044,-0.0003,-0.0011,0.0056,-0.0228,0.0053,-0.266,-0.0001,-0.0006,0.001,-0.0014,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,148.0,152.0,147.0,151.0,367200,-0.0,0.0003,-0.0014,0.0007,-200.0,0.0,-0.0007,-0.0001,-0.0,0.0025,-0.0009,0.0038,-0.0012,-0.0044,0.0018,0.0035,0.0061,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,149.0,151.0,147.0,148.0,296500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,151.0,153.0,149.0,149.0,2400300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,180.0,192.0,154.0,154.0,31940200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,171.0,184.0,169.0,184.0,7736300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,170.0,175.0,170.0,174.0,1159200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
