Date,Close,High,Low,Open,Volume,BQ,OD,DR,XC,CC,XL,YP,AG,KK,KI,XA,NI,PD,AZ,MG,MU,EP,LS,QA,AI
2026-07-13,246.0,246.0,242.0,246.0,8300,0.0,0.0,0.0005,0.0012,0.0,-0.0004,-0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,246.0,246.0,242.0,246.0,11800,-0.0,0.0,0.0005,0.0,0.0,-0.0011,0.0006,0.0,-0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,244.0,244.0,242.0,244.0,6200,0.0,0.0,0.0,0.0008,-0.0009,-0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,246.0,246.0,242.0,242.0,9600,-0.0001,-0.0004,0.0,-0.0006,0.0,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,250.0,250.0,244.0,244.0,34800,-0.001,-0.0017,0.0029,0.0012,0.0006,-0.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,250.0,250.0,244.0,246.0,8200,0.0,-0.0001,0.0014,0.0,-0.0005,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-21,250.0,250.0,246.0,250.0,28000,0.0,-0.0002,0.0056,0.0,0.0,-0.0005,-0.0007,0.0,-0.0,0.0,-0.0045,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0
2026-07-22,250.0,250.0,244.0,248.0,113200,0.0,0.0,-0.0009,0.0002,0.0,-0.0234,0.0252,0.0,0.0001,0.0,0.0,-0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-23,266.0,282.0,248.0,250.0,282000,0.0004,-0.0001,-0.0159,-0.0011,-0.0077,-0.0041,0.0214,0.0,-0.002,-0.0001,0.0,-0.0027,-0.0041,-0.0,-0.0007,0.0165,-800.0,0.0004,-800.0,-0.0002
2026-07-24,264.0,264.0,258.0,260.0,29500,0.0,0.0,0.0006,-0.0008,0.0012,-0.0009,0.0003,0.0,0.0001,0.0,0.0007,0.0,-0.0013,-0.0002,0.0003,0.0,0.0,0.0,0.0,0.0
