Date,Close,High,Low,Open,Volume,SQ,XL,PD,MU,XA,AZ,YB,LS,DH,EP,ZP,KK,AK,GI,XC,OD,BQ,YP,HP,GR,CP,BK,SF,CC,RO,QA,NI,FZ,TP,LG,AG,DX,DR,MG,CD,AT,RB,PC,AI,IF,YU,IN
2026-07-13,65.0,66.0,63.0,66.0,16680400,-0.0099,0.1724,0.0015,0.0,0.0,0.0064,0.0007,0.0001,0.004,-0.0025,-0.1377,-0.0086,-0.1521,0.0,0.1458,0.0075,-0.0105,0.0941,0.0,-0.1451,0.0018,-0.0581,0.0,0.0593,-0.0,-0.0001,0.0337,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006,0.0,0.0,0.0,0.0,0.0,-200.0,-0.002,-0.0001
2026-07-14,65.0,66.0,64.0,65.0,23476300,0.0118,-0.1128,-0.3034,0.0,-0.0013,0.0177,0.0001,0.013,-0.0086,-0.0514,-0.1832,0.0058,-0.1717,0.0,0.1127,0.0011,0.006,0.0736,0.0,-0.019,0.1324,-0.0025,0.0,0.4962,-0.0,0.0021,0.0051,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0457,0.0,-0.0,0.0006,0.001,-0.0059,-0.065,0.0,0.0
2026-07-15,65.0,66.0,64.0,65.0,15451900,0.0043,0.131,0.0004,0.0,-0.001,0.0006,0.0013,0.0,-0.0,0.1162,-0.1443,-0.0051,-0.1265,0.0,0.0009,-0.001,-0.0477,0.0301,0.0,-0.0,-0.004,0.0,0.0228,0.11,0.0,-0.0,-0.115,0.0,0.0,-0.0,0.0,0.0,0.0033,-0.0306,-0.0003,0.0546,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,65.0,66.0,64.0,66.0,31673700,-0.0005,0.1441,0.0804,0.0,-0.4875,0.0075,0.007,0.0,0.0067,-0.0854,-0.182,-0.0047,-0.2271,0.0,-0.1536,-0.0023,0.0012,0.2406,0.0013,0.0001,0.0271,-0.0108,0.0121,0.1019,0.0006,100.0,0.0219,0.4875,0.0072,-0.0001,0.0,0.0101,-0.0031,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,66.0,66.0,64.0,65.0,11043500,-0.0033,0.0041,0.0913,-0.0017,0.0002,-0.1622,-0.0006,0.0009,0.0137,0.0963,-0.0772,-0.0131,-0.1139,-0.0,0.0194,0.0011,-0.0045,0.1591,0.0006,-0.0066,-0.0036,-0.0692,-0.0263,0.0547,-0.0,0.0,0.0407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,67.0,68.0,65.0,66.0,76052400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,68.0,69.0,66.0,67.0,60471300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,68.0,70.0,67.0,68.0,30584700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,66.0,70.0,66.0,68.0,48506100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,67.0,67.0,65.0,66.0,24183100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
