Date,Close,High,Low,Open,Volume,IU,HD,XL,PD,XC,SF,DH,PC,ZR,NI,AO,HP,AI,XA,SH,DU,YP,CC,BR,KK,PF,CP,AT,YJ,AG,OD,TP
2026-07-13,605.0,605.0,595.0,605.0,293000,0.0,0.0001,-0.0041,0.0,0.0024,0.0,0.0001,0.0669,0.0129,0.0,0.0138,0.0,0.0,-0.0271,-0.0489,-0.018,0.0002,-0.0193,0.0472,-0.008,0.0,-0.018,0.0001,0.0,0.0,0.0,0.0
2026-07-14,600.0,600.0,595.0,600.0,233800,0.0204,-0.0002,-0.0056,0.0,0.0031,-0.012,0.0,-0.0298,-0.006,0.0,-0.0082,0.047,0.0,0.0234,-0.0239,0.012,0.0001,-0.0017,-0.0269,0.0,-0.006,0.0001,0.005,0.0,0.0,0.0001,0.0089
2026-07-15,600.0,605.0,585.0,595.0,326400,0.0,0.0004,-0.0159,0.0002,0.0008,0.0126,0.0006,0.0569,0.0211,0.0246,0.0069,0.0,0.0,-0.0019,-0.0546,-0.0242,0.0018,-0.0301,0.0266,-0.0073,0.0,0.0,0.0,0.0,-0.0182,-0.0003,0.0
2026-07-16,600.0,605.0,595.0,600.0,260000,0.0315,-0.0005,-0.0014,0.0,-0.0007,-0.0017,0.0,-0.0538,-0.018,0.0038,-0.006,0.0262,0.0,0.034,-0.0159,0.0165,0.0,0.0054,-0.0419,0.0179,-0.0088,0.0133,0.0013,-0.0013,0.0,0.0,0.0
2026-07-17,605.0,605.0,590.0,600.0,297200,-0.0238,0.0001,-0.0126,0.0049,0.0014,0.006,0.0006,0.0359,0.013,0.0002,0.0117,-0.0201,-0.0302,-0.0071,0.0493,-0.0474,0.0021,-0.0021,0.0363,-0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,650.0,655.0,600.0,600.0,1387400,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,620.0,655.0,600.0,650.0,2859100,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,615.0,620.0,605.0,620.0,775800,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,645.0,645.0,610.0,615.0,1481400,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,675.0,675.0,620.0,645.0,1604000,,,,,,,,,,,,,,,,,,,,,,,,,,,
