Date,Close,High,Low,Open,Volume,AD,OD,YB,SQ,YP,YU,XC,KK,XL,AK,PD,BQ,GR,CC,FZ,CP,RX,RO,AZ,DH,KI,ZP,AT,NI,EP,TF,AI
2026-07-13,795.0,805.0,740.0,770.0,248700,0.0,-0.0326,0.0011,0.0,0.0,0.1301,0.0032,0.0011,-0.0227,-0.0137,0.0325,0.0013,0.0,0.0023,0.0,-0.1026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,790.0,815.0,790.0,795.0,107800,0.0,0.0,0.0011,0.0,0.004,0.0487,0.0028,0.0,-0.0085,-0.0028,0.0003,0.0001,0.0,-0.0374,0.0,0.0,-0.008,-0.0002,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,795.0,800.0,790.0,795.0,58600,0.0,0.006,0.0,0.0002,-0.0118,0.0313,-0.0017,0.0001,-0.0068,-0.0014,0.0,0.0002,0.0,-0.008,0.0,0.0,0.0,-0.0001,-0.0079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,790.0,810.0,780.0,810.0,78900,0.0,-0.0002,0.0,0.0022,0.0006,0.0227,-0.0008,0.0,-0.0038,-0.0027,-0.016,0.0024,0.0,-0.0044,0.0,0.008,-0.0079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,800.0,825.0,700.0,800.0,263600,-0.0,-0.0002,0.0001,0.0018,0.0002,0.1125,-0.011,-0.0003,0.0047,-0.0152,-0.0223,0.003,0.0008,-0.0573,-0.0008,-0.0158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,800.0,860.0,790.0,800.0,122800,0.0,-0.006,0.0,0.0039,-0.0032,0.0173,-0.0026,-0.0003,-0.0016,-0.0141,-0.0009,0.0,0.0,0.012,0.0,-0.0081,0.0,0.0,0.0,0.0,0.0,0.0024,0.001,0.0,0.0,0.0,0.0
2026-07-21,815.0,875.0,805.0,805.0,169200,0.0,0.0005,0.0,0.0,0.0084,0.0187,-0.0101,0.0,0.0043,-0.0129,0.0062,-0.0042,0.0,0.0012,0.0,-0.0026,0.0,-0.0001,-0.0082,0.0,0.0,-0.0009,0.0,0.0,0.0,-0.0005,0.0002
2026-07-22,815.0,820.0,800.0,815.0,40400,0.0,-0.0078,0.0,-0.0002,0.0004,0.0097,-0.001,0.0,-0.0019,-0.0014,-0.0093,-0.0,0.0,0.0055,0.0,0.0,0.0,0.0,0.0068,0.0,0.0,0.0,0.0002,0.0002,-0.0008,-0.0005,0.0
2026-07-23,825.0,830.0,805.0,815.0,243900,0.0,0.0,0.0,0.0002,0.0,0.0498,0.0038,0.0,-0.0213,-0.011,0.0007,0.0049,0.0,-0.0263,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,-0.0008,0.0,0.0,0.0,0.0,0.0
2026-07-24,820.0,825.0,780.0,825.0,92900,0.0,0.0,0.0,0.0,0.0,0.0012,-0.0068,0.0,-0.004,-0.0117,-0.0044,0.0697,0.0,-0.0238,0.0,0.0,0.0,0.0,-0.0113,0.0,-0.0081,-0.0008,0.0,0.0,0.0,0.0,0.0
