Date,Close,High,Low,Open,Volume,NI,RO,XA,DH,CC,IN,OD,PD,AZ,XL,MG,DR,YP,AT,XC,KK,AO,CP
2026-07-13,52.0,52.0,52.0,52.0,0,,,,,,,,,,,,,,,,,,
2026-07-14,52.0,52.0,52.0,52.0,0,,,,,,,,,,,,,,,,,,
2026-07-15,52.0,52.0,52.0,52.0,0,,,,,,,,,,,,,,,,,,
2026-07-16,52.0,52.0,52.0,52.0,0,,,,,,,,,,,,,,,,,,
2026-07-17,57.0,57.0,56.0,56.0,3915800,-0.0032,-0.0065,0.0322,-0.0001,0.0028,-0.0023,0.0019,-0.0156,0.0084,-0.0957,0.0132,0.0,0.0006,0.0001,0.0236,0.0216,-0.0001,0.019
2026-07-20,62.0,62.0,62.0,62.0,878000,,,,,,,,,,,,,,,,,,
2026-07-21,68.0,68.0,68.0,68.0,8397000,,,,,,,,,,,,,,,,,,
2026-07-22,68.0,68.0,63.0,63.0,3032400,,,,,,,,,,,,,,,,,,
2026-07-23,69.0,69.0,68.0,68.0,3511400,,,,,,,,,,,,,,,,,,
2026-07-24,75.0,75.0,71.0,71.0,3237400,,,,,,,,,,,,,,,,,,
