Date,Close,High,Low,Open,Volume,AD,BK,IH,NI,RO,CC,OD,DR,SQ,YP,YU,ZR,XC,KK,XL,AK,AT,ZP,EL,AI,DH,PD,AZ,KI,PC,LS,BR,GR,HD,DX,CP,XA,IN,YB,LG,TP,EP,YJ,SF,BQ,IF,AR,DU,TF,AG,CD,QA,HP
2026-07-13,382.0,382.0,374.0,380.0,4513400,0.0,-0.0012,0.0,0.0498,-0.0001,0.0561,0.0012,0.0355,0.0005,-0.0048,0.0,0.0435,0.0045,0.038,0.0247,-0.0142,0.0015,-0.0815,0.1056,0.0,-0.0047,-0.1175,0.1912,0.0007,0.0,0.0,-0.221,0.019,-0.0019,0.0,-0.1612,0.0039,0.0622,0.0003,0.0006,0.0,-0.006,-0.0099,0.0642,-400.0,0.0,0.0031,-0.0808,0.0,0.0,0.0,0.0006,-0.002
2026-07-14,378.0,384.0,378.0,382.0,3172600,0.0,0.022,0.0,-0.0016,0.0002,0.0262,-0.0018,-0.0378,0.0204,0.0208,-0.0019,0.133,-0.0391,-0.011,0.0544,0.0029,0.1481,0.0019,0.0,0.0,0.0024,0.0163,-0.191,0.0,0.0,0.0,0.1986,-0.0143,0.0008,0.0,0.0009,-0.0015,-0.0193,0.001,0.0004,-0.0003,-0.0125,-0.0872,-0.0626,-0.0019,0.0004,-0.0665,-0.0888,0.0,0.0,-0.0115,0.0,0.0
2026-07-15,384.0,384.0,380.0,380.0,3456000,0.0,-0.0012,0.0113,0.0036,0.0,-0.0149,0.0,-0.0008,-0.0251,0.019,0.0,-0.2521,-0.0165,0.067,0.0984,-0.0026,0.0002,0.0,0.0688,0.0,-0.0057,-0.0121,0.1615,0.0003,-0.0644,0.0,-0.1994,0.0002,-0.0008,0.0,0.0001,0.0,-0.0441,0.0,0.0,0.0,0.0,-0.0818,-0.0008,0.0043,0.0,0.1426,0.1442,0.0018,-0.001,0.0,0.0,0.0
2026-07-16,380.0,384.0,378.0,384.0,3498800,0.0008,-0.0047,0.0,0.0194,0.0001,-0.1009,0.0123,0.019,0.0005,0.1109,-0.0001,0.0888,-0.0857,-0.0004,0.1544,-0.0473,0.0003,0.0118,-0.1739,-0.0023,0.003,0.0319,-0.1615,0.0,0.0,0.0,0.1177,-0.0019,0.0007,0.0,0.141,0.0001,0.0781,0.0013,0.0004,0.0008,-0.0001,-0.0422,0.0853,-0.0758,0.0002,-0.1819,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,380.0,382.0,378.0,382.0,3331000,0.0756,-0.0029,-0.1247,-0.013,-0.0011,-0.2747,-0.0025,-0.0038,-0.2342,0.0657,0.0001,0.0683,0.4207,0.0008,0.0995,-0.0032,-0.1472,-0.0632,0.1079,0.0019,-0.0021,0.0059,0.1246,0.0011,-0.062,0.0053,-0.1178,-0.0144,0.0006,-0.001,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,382.0,384.0,378.0,380.0,4412600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,384.0,384.0,378.0,382.0,3808600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,382.0,382.0,376.0,382.0,4550200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,380.0,382.0,376.0,382.0,4381500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,374.0,380.0,374.0,380.0,2135700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
