Date,Close,High,Low,Open,Volume,CP,GR,YJ,PD,XL,YP,CC,EP,AO,KK,XC,SQ,OD,QA,BQ,NI,AZ,HP,LG,HD,DH,AG,AT,YB,IF,XA,MG,FS,CD
2026-07-13,174.0,180.0,165.0,179.0,395800,0.0,0.0,0.0,0.0033,0.0427,-0.0001,0.0026,0.0005,0.0,0.0005,-0.05,0.0,0.0,0.0,-0.0,-0.0,-0.0005,0.0,0.0,300.0,-0.0001,0.0,0.0,0.0005,0.0,-0.0,0.0,0.0,0.0006
2026-07-14,175.0,204.0,172.0,174.0,2202600,0.0006,0.0,0.0016,0.0011,-0.0316,0.0069,-0.0158,-0.0043,0.2144,-0.0109,-0.133,0.0,-0.0129,0.0,-0.0102,-0.0013,0.0,0.0,0.003,-0.0002,0.0,-0.0005,0.0,-0.0044,0.0,-900.0,-0.0036,0.0009,0.0
2026-07-15,185.0,204.0,175.0,175.0,2362400,-0.0008,0.0,0.0005,-0.0053,0.041,-0.0009,0.0022,-0.0014,0.0,-0.0036,0.0005,0.0034,-0.0002,-0.0,-0.0019,0.0011,-0.0006,-0.0008,0.0,-0.0008,-0.0272,-0.0001,0.0,-0.0048,-0.0001,-0.0,-0.0003,0.0,0.0
2026-07-16,190.0,200.0,178.0,187.0,1421500,-0.0003,0.0001,0.0,-0.0032,-0.0624,0.0114,-0.0042,-0.0003,0.0475,-0.0002,0.002,-0.0,0.0001,0.005,-0.0,0.0,-0.0005,0.0,0.0,-0.0,-0.0001,-0.0003,-0.0,0.0054,0.0,0.0,0.0,0.0,0.0
2026-07-17,199.0,200.0,183.0,189.0,1099500,-0.0001,-0.0016,0.0006,0.0018,-0.1441,0.0017,-0.004,-0.0001,0.052,0.0018,0.1184,-0.0001,-0.0001,-0.005,-0.0,-0.0001,0.0004,-0.0007,-0.0189,0.0,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,195.0,242.0,186.0,190.0,4057200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,202.0,220.0,193.0,202.0,4456200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,210.0,220.0,200.0,202.0,1232400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,206.0,218.0,200.0,210.0,1035000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,204.0,220.0,199.0,206.0,1548400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
