Date,Close,High,Low,Open,Volume,XL,PD,YB,XC,CP,DH,YP,CC,NI,BQ,OD,AT,SQ,KK,DR,MG,RO,KI,XA,QA,SH,EP,CD,IF
2026-07-13,436.0,458.0,432.0,450.0,108600,-0.0009,0.0002,-0.0,0.0059,0.0,0.0,-0.0006,-0.002,-0.0004,0.0,0.0005,0.0,0.0,-0.0004,-0.0004,0.0,-0.0,0.0001,0.0,0.0,0.0,0.0,-0.0002,-0.002
2026-07-14,438.0,450.0,400.0,436.0,179500,-0.0239,-0.0,0.0012,0.0126,0.0,0.0,0.0,0.0018,0.0,0.0,0.0008,0.0,0.0003,-0.0,0.0,0.0074,-0.0001,0.0,0.0,-0.0001,0.0,-0.0,0.0,0.0
2026-07-15,454.0,494.0,422.0,438.0,577000,-0.0098,-0.0005,0.0003,-0.0162,0.041,0.0006,0.0026,-0.0148,0.0027,-0.0,-0.0005,0.0,0.0,0.0005,0.0014,-0.0078,0.0001,0.0006,-0.0,-0.0,-0.0,0.0,0.0,0.0
2026-07-16,454.0,478.0,432.0,454.0,139500,0.0018,-0.0002,0.0,0.0049,-0.004,0.0,0.0003,0.0005,-0.0018,-0.0001,0.0019,-0.0,-0.0014,-0.0005,-0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,454.0,456.0,442.0,456.0,157300,-0.0037,-800.0,-0.0008,-0.0007,0.0063,-0.0008,-0.0021,0.0031,0.0006,-0.0,-0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,444.0,468.0,434.0,454.0,374900,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,426.0,454.0,406.0,444.0,375800,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,420.0,434.0,412.0,428.0,70700,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,414.0,434.0,408.0,420.0,124000,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,408.0,416.0,380.0,414.0,54300,,,,,,,,,,,,,,,,,,,,,,,,
