Date,Close,High,Low,Open,Volume,NI,OD,QA,DR,SQ,YP,HP,XC,KK,XL,EP,PD,BQ,KI,MG,GR,CC,RO,DH,XA,CP,AZ
2026-07-13,292.0,302.0,292.0,302.0,306000,0.0002,0.0,-0.0001,0.0008,-0.0001,-0.0004,0.0,0.0004,-0.06,-0.0156,0.0,0.0031,-0.0003,0.0,0.0,0.0009,0.0712,-0.0001,0.0,0.0,0.0,0.0
2026-07-14,308.0,318.0,296.0,304.0,113000,0.0,-0.0,0.0,-0.0001,-0.0002,-0.0,0.0,-200.0,0.0,0.0047,0.0,-0.0004,0.0001,0.0,0.0,-0.0008,-0.0033,0.0,0.0,0.0,0.0,0.0
2026-07-15,302.0,316.0,300.0,316.0,33400,0.0,0.0014,0.0,0.0003,-0.0001,0.0,-0.0002,0.0005,0.0,0.0022,0.0,0.0,-0.0001,-0.0045,0.0,0.0001,0.0002,0.0,0.0,0.0,0.0,0.0
2026-07-16,294.0,302.0,294.0,302.0,16300,0.0,0.0,0.0,0.0004,-0.0001,0.0,0.0,0.0002,0.0,-0.0005,0.0,-0.0003,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,316.0,338.0,292.0,292.0,715400,0.0,-0.004,-400.0,-0.0016,-0.0078,0.0017,-0.0005,-0.0052,-0.0216,0.0732,-0.0,-0.0433,0.0041,-0.0,-800.0,0.0015,0.0035,0.0,0.0,0.0,0.0,0.0
2026-07-20,314.0,318.0,304.0,316.0,134200,0.0001,-0.0011,0.0,0.0,-0.0002,0.0001,-0.0003,0.0058,0.0,-0.0154,0.0,-0.0043,0.0,0.0,0.0,-0.0022,0.0174,0.0,0.0,0.0,0.0,0.0
2026-07-21,320.0,326.0,282.0,314.0,185900,0.0001,0.0004,0.0,-0.0001,-0.0001,-0.0003,-0.0002,-0.0073,-0.0006,-0.0084,0.0,0.0022,0.0,0.0,0.0,-0.0002,-0.018,0.0,0.0,0.0,0.0332,-0.0007
2026-07-22,324.0,324.0,310.0,322.0,186900,0.0,-0.0001,0.0,0.0,-0.0001,-0.0001,-0.0,0.0002,0.0,0.0163,0.0,0.0,0.0,0.0,0.0,-0.0003,-0.0012,0.0,0.0,0.0,-0.0145,-0.0002
2026-07-23,314.0,324.0,300.0,322.0,479200,0.0021,0.0,0.0,0.0002,-0.0,-0.0002,-0.0004,0.0293,0.0,-0.0163,0.0,0.0014,-0.0,0.0003,0.0,0.0006,0.0022,0.0,0.0,0.0,-0.0191,0.0
2026-07-24,314.0,318.0,312.0,316.0,25300,0.0,-0.0014,0.0,-200.0,-0.0,0.0,0.0,0.0029,0.0,-0.0009,0.0,0.0002,0.0,-0.0001,0.0,0.0,-0.0008,0.0001,0.0,0.0,0.0,0.0
