Date,Close,High,Low,Open,Volume,ZR,CP,GR,XL,CC,YP,PD,DR,EP,AO,KI,KK,IF,XA,AG,AT,AI,XC,SQ,TP,OD,QA,BQ,AK,NI,YU,AZ,ZP,YB,HP,LG,BK,RO,DH,MG,FS,DU,FZ,IH,YJ,ID,AF,PC,CD,SF,PG,HD,ES,RF
2026-07-13,218.0,218.0,210.0,216.0,45503700,0.0,0.1192,-1.9,0.292,0.2446,0.0056,-0.2104,0.0025,0.0252,0.0214,-0.0001,-0.107,0.0013,-0.0146,0.0022,0.0118,0.0,-0.1206,-0.3964,0.4042,-0.016,0.0031,0.0584,2.8,-0.2649,0.0348,-1.6,-0.0497,-0.0336,-0.0005,-0.0006,0.4126,-0.0009,-0.0266,0.288,0.0,0.0,0.0,0.0,-0.0098,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0002,-0.0001
2026-07-14,214.0,224.0,214.0,220.0,56342400,0.0,-0.9744,0.0718,0.8941,-0.0979,-0.0271,0.0707,0.0236,0.0038,0.0,-0.001,0.2561,-0.0112,0.0446,0.0,-0.0036,0.0,0.5834,-1.2,-0.1656,0.1756,0.2259,0.0536,0.7887,-0.116,-0.0087,-1.0,0.0609,0.0022,-0.0848,0.0922,0.0447,0.0088,0.0695,0.1116,0.0,0.0,-0.0022,0.0,0.0022,0.0,0.005,0.0,0.004,0.0655,0.0054,0.0066,0.0,0.0
2026-07-15,206.0,220.0,204.0,220.0,127099600,0.0,-8.0,0.2046,6.1,3.7,1.7,0.1489,-0.2241,0.3539,0.0007,0.0317,0.283,-1.0,0.3255,0.0005,-0.0489,0.0042,0.4733,-2.4,-0.2531,-0.6325,0.354,0.1261,-2.6,0.4022,0.4515,0.1393,0.6142,-0.0785,0.0,-0.0508,-0.4736,0.0535,0.2008,-0.0107,0.0,0.0,0.0,0.0,0.0666,0.0208,0.005,0.0311,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,208.0,210.0,200.0,210.0,61258000,0.0,-0.2119,-0.0394,-0.1927,0.9209,-0.3503,0.0523,0.1174,0.079,-0.0215,0.0001,-0.6561,0.0106,-0.8008,-0.0013,-0.0132,0.0,0.2487,0.9382,0.0003,-0.8031,0.0597,0.0031,0.2265,0.2369,0.0094,-0.0316,0.3777,-0.0149,-0.0,0.0243,0.2823,-0.0037,0.0178,-0.1581,0.0206,0.02,-0.2952,-0.0312,0.0001,-0.0208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,210.0,214.0,206.0,208.0,30584500,-0.0084,-0.3967,0.0632,0.8617,0.2027,0.3044,0.1206,-0.0611,0.0043,0.0208,0.0002,0.0044,-0.0,-0.0111,-0.0002,-0.0202,-0.0042,-0.3616,0.2536,0.0214,-0.0001,0.0235,0.0113,-0.5194,0.3773,-0.2034,-0.0015,0.0374,-0.2383,0.0106,0.0042,-0.0667,-0.0003,0.0374,-0.4661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,230.0,230.0,208.0,210.0,154399200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,230.0,250.0,218.0,230.0,195833800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,214.0,234.0,208.0,230.0,223459600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,224.0,232.0,214.0,218.0,157209200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,234.0,240.0,214.0,226.0,196407600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
