Date,Close,High,Low,Open,Volume,XC,SQ,YB,YP,XA,AZ,NI,CP,AG,EP,OD,XL,FS,AK,CC,PD,YU,QA,MG,BQ,GR,KK,DH
2026-07-13,234.0,244.0,232.0,238.0,52700,0.0,0.0,0.0,-0.0013,0.0,0.0,0.0037,0.0,0.0,-0.0014,0.0,0.0022,0.0,0.0,-0.0024,-0.006,0.0,0.0,0.0,0.0,0.0019,0.0023,0.001
2026-07-14,236.0,240.0,232.0,234.0,40200,-0.0,0.0,0.0,-0.0001,-0.0002,-0.0023,0.0004,0.0,0.0,-0.0007,0.0,-0.0011,0.0,-0.0,0.0006,-0.0011,0.0,0.0,0.0,0.0,0.0031,0.0,0.0013
2026-07-15,238.0,240.0,234.0,238.0,13500,0.0,0.0,0.0,0.0,0.0005,-0.0,0.0001,0.0,0.0,-0.0003,0.0,0.0018,0.0,0.0,-0.0023,0.0,0.0005,0.0,0.0,0.0,-0.0003,0.0,0.0
2026-07-16,250.0,266.0,240.0,240.0,813500,-0.0024,-0.0109,0.0,0.0003,0.0,-0.0067,-0.0051,0.0,0.0,-0.0001,0.0142,0.0402,0.0,-0.0018,-0.0231,-0.0015,0.0002,-0.0001,-0.0,-0.0026,-0.0008,0.0,0.0
2026-07-17,246.0,262.0,246.0,262.0,170500,0.0001,0.0008,-0.0,-0.0007,0.0009,0.0002,-0.0,0.0,0.0007,-0.0,-0.0132,0.0169,0.0012,-0.0027,-0.004,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,250.0,260.0,250.0,260.0,305200,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,256.0,266.0,248.0,258.0,234000,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,266.0,280.0,260.0,260.0,654800,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,264.0,280.0,258.0,278.0,438000,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,252.0,268.0,250.0,264.0,103800,,,,,,,,,,,,,,,,,,,,,,,
