Date,Close,High,Low,Open,Volume,NI,XA,CC,OD,YB,QA,DR,SQ,YP,HP,XC,LG,KK,XL,AI,DH,FZ,AZ,IF,MG,CP,AD,RO,AT,ZP,EP,TP,SF,PD,BQ,AG,KI,GR,HD,AO,DX,RG,GI,YU,LS
2026-07-13,68.0,68.0,65.0,67.0,348600,-0.0,0.0,0.002,-100.0,0.0,0.0,0.0016,0.0,0.0005,0.0,-0.0,0.0,0.0012,-0.0029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009,0.0,0.0,0.0,0.0,0.0,0.0001,-0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,68.0,68.0,66.0,68.0,802400,0.0,0.0,0.0007,-0.0005,-0.0174,0.0,0.0114,0.0,0.0068,0.0,0.0034,0.0,-0.0018,-0.0046,0.0,-0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,-0.006,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0068,0.0,0.0,0.0
2026-07-15,68.0,70.0,67.0,67.0,1619100,0.0015,0.0,-0.0014,-100.0,-0.0496,0.002,0.0463,0.0,0.0274,0.0,-0.0059,0.0,-0.0041,-0.0027,0.0,-0.0012,0.0,0.0,0.0,-0.0001,0.0,0.0,0.0,0.0,-0.0035,0.0,0.0,0.0,0.0001,-0.0082,0.0,0.0,-0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,68.0,70.0,68.0,70.0,277200,-0.0002,0.0,0.0024,0.0001,-0.0008,0.0,0.0007,0.0,0.0021,0.0,-0.0003,0.0,0.0012,-0.0106,0.0,0.0,0.0,0.0,0.0005,-0.0014,0.0,0.0,0.0,0.0,-0.0007,0.0,0.0001,0.0,-0.0003,0.0004,0.0068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,74.0,88.0,70.0,71.0,114528000,0.0474,0.0039,0.2035,-0.0455,-0.0325,-0.002,-0.147,-0.006,-0.1185,-0.0001,-0.0004,-0.0246,-0.0374,0.8596,-0.0195,-0.0134,-0.014,0.0131,-0.0001,-0.021,-0.109,0.0,0.0149,0.0202,-0.003,0.0206,0.0085,-0.0039,-0.0861,-0.0043,-0.5022,-0.0001,0.0273,0.0001,-0.0283,-0.0001,0.0,0.0,0.0,0.0
2026-07-20,74.0,77.0,72.0,75.0,13185000,-0.0071,-0.0001,-0.0118,0.0157,0.0008,0.0005,-0.0021,0.0156,0.0665,-0.0001,0.0206,0.0034,0.0137,-0.1259,-0.0002,-0.0001,0.0,-0.0094,0.0007,0.0025,0.005,0.0,0.0003,-0.0,0.0076,-0.0009,-0.0082,0.0,-0.012,0.0248,-0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-21,74.0,76.0,73.0,74.0,3912600,-0.0001,0.003,-0.0246,-0.0042,0.0052,-0.0001,0.0039,0.0,0.0009,0.0,-0.0002,0.0057,-0.0016,-0.031,0.0,0.0,0.0,0.0,0.0,0.0296,-0.0052,0.0,-0.0145,0.0005,0.0,0.0009,0.0,0.0,0.0084,0.0199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036,0.0
2026-07-22,76.0,78.0,74.0,75.0,6066700,-0.0001,-0.003,-0.0132,-0.0116,0.0006,0.0,-0.0089,-0.0077,0.0428,0.0,-0.0004,-0.0042,-0.0026,0.0558,-0.0002,0.0,0.0,-0.0102,-0.0002,-0.0204,-0.0015,0.0,0.0,-0.0005,-0.0052,0.0069,0.0,0.0,0.011,-0.0326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055,-0.0
2026-07-23,75.0,76.0,74.0,76.0,3908400,-0.0012,-0.0008,-0.0094,0.0002,0.0,-0.0,0.0,0.0086,-0.0206,0.0,0.0069,0.0,0.0096,-0.0267,0.0,0.0,0.0,0.0008,0.0,0.0016,-0.0,-0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0087,0.0223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0
2026-07-24,74.0,76.0,72.0,75.0,2288100,0.0343,0.0,-0.0036,0.0042,-0.0,0.0,0.0179,0.0058,-0.0375,0.0,0.0177,0.0,-0.0063,-0.0301,0.0,-0.0002,0.0,0.0,0.0,-0.0027,-0.0001,-0.0,0.0,0.0006,0.0,0.0093,-0.0057,0.0,0.001,-0.0097,0.0008,0.0,-0.003,0.0,0.0,0.0,0.0,0.0,0.0073,0.0
