Date,Close,High,Low,Open,Volume,XC,YU,SQ,LG,XA,KK,KZ,CP,ZP,AT,AK,XL,YP,CC,IF,HD,PD,KI,OD,AI,FZ,MG,NI,BQ,DR,DH,YB,AZ,GR,RO
2026-07-13,930.0,955.0,910.0,945.0,157400,-0.0002,0.0,-0.0001,-0.0001,0.0,0.0252,-0.0439,-0.0002,0.0173,0.0,-0.001,-0.043,0.0252,0.0217,0.0,0.0001,0.0051,0.0,-0.0005,0.0,0.0,0.0,-0.0003,0.0,0.0059,0.0,0.0,0.0006,-0.0119,0.0001
2026-07-14,945.0,955.0,935.0,935.0,192500,0.02,0.0,0.0,-0.0164,0.0,0.0195,-0.0548,-0.0002,0.0541,0.0,-0.0039,-0.0293,-0.0267,0.0439,0.0,-0.0002,-0.0051,0.0052,-0.0014,0.0,0.0033,0.0009,-0.0041,0.0,-0.0014,0.0,-0.0034,0.0,0.0,0.0
2026-07-15,980.0,980.0,945.0,950.0,971200,-0.0015,0.0984,0.0,0.0,0.0,0.1618,-0.2798,-0.0003,-0.0515,0.001,-0.0488,-0.0344,0.0068,0.09,-0.0002,0.0,0.0605,0.0,-0.0006,0.0048,0.0,0.0,-0.001,0.0,0.0,-0.0052,0.0,0.0,0.0,0.0
2026-07-16,1005.0,1010.0,965.0,965.0,294200,-0.0438,-0.006,-0.0007,-0.0002,0.0,0.0113,-0.0875,0.02,0.0,0.0,-0.0018,-0.0328,0.036,0.0625,-0.001,0.0006,0.0097,-0.0016,-0.0036,0.002,0.0495,0.0164,-0.01,-0.0091,-0.01,0.0,0.0,0.0,0.0,0.0
2026-07-17,985.0,1025.0,985.0,1025.0,446500,-0.0176,0.0304,-0.0009,-0.0009,0.0006,0.2238,-0.1329,-0.02,-0.0991,-0.001,-0.0323,0.0554,0.003,-0.0889,-0.0002,-0.0003,0.0809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,995.0,1010.0,990.0,1010.0,78200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,985.0,1000.0,985.0,1000.0,382100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,965.0,1000.0,930.0,1000.0,770200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,945.0,970.0,935.0,955.0,740100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,930.0,950.0,930.0,945.0,519500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
