Date,Close,High,Low,Open,Volume,NI,RO,XA,GI,OD,YB,QA,DR,SQ,YP,YU,HP,XC,LG,FS,XL,AK,KK,ZP,AT,TP,CD,EP,DH,PD,BQ,AZ,IF,AG,MG,KI,PC,MI,GR,RX,CC,CP
2026-07-13,135.0,138.0,134.0,136.0,1293900,-300.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0129,0.0,0.0,0.0004,0.0,-0.0227,0.0153,0.0001,0.0144,0.0,-0.0,0.0,0.0,0.0,0.0,0.0074,0.0003,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0001,0.0,-0.0084,-0.0204
2026-07-14,135.0,139.0,132.0,135.0,3056400,-0.0024,-0.0009,0.0317,0.0,-0.012,0.0003,0.0,0.011,0.0,0.001,0.0,0.0,-0.0082,0.0,0.0,0.0035,0.0186,-0.0322,0.0,0.0,-0.0,0.0,-0.0268,0.0,0.001,0.0023,0.0,0.0,0.0,0.0,0.0008,0.0,0.004,-0.0006,0.0,0.008,0.0009
2026-07-15,133.0,138.0,132.0,135.0,1610200,0.0024,-0.0001,-0.0279,0.0,0.0,0.0,0.0,-0.011,0.0,-0.0226,0.0,0.0,-0.002,0.0,0.0,0.0321,0.0118,0.0208,0.0,0.0,0.0,0.0,0.0,0.0,0.0031,0.0011,0.0,0.0,0.0,0.0,0.0161,0.0,0.0,0.0001,0.0,-0.0264,0.0024
2026-07-16,133.0,135.0,128.0,133.0,867500,0.0,0.0,0.0,0.0,-0.0265,0.0002,0.0,0.0,0.0005,-0.0067,0.0,0.0001,0.0005,0.0,0.0,0.0429,0.0001,-0.0089,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017,-0.0003,0.0,0.001,0.0,0.0,-0.002,0.0,0.0039,0.0,0.0,-0.0031,0.0001
2026-07-17,157.0,177.0,130.0,134.0,31721000,-0.0426,0.0,-0.0071,-0.0001,0.0011,-0.0016,0.0004,-0.0142,0.0068,-0.0203,0.0011,-0.0006,0.0428,0.0,-0.0495,0.2744,0.0228,-0.02,0.0001,-0.002,0.0005,0.0,-0.1058,-0.0537,-0.0243,0.0085,0.0051,-0.002,-0.0006,0.0001,-0.0185,-0.0,-0.0084,-0.001,-0.0303,0.0529,-0.014
2026-07-20,157.0,164.0,153.0,159.0,3557000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,157.0,163.0,155.0,158.0,2406000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,147.0,159.0,144.0,157.0,2460700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,155.0,155.0,144.0,147.0,2663200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,145.0,155.0,143.0,152.0,1069900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
