Date,Close,High,Low,Open,Volume,NI,RO,OD,YB,QA,DR,SQ,YP,YU,HP,XC,LG,KK,XL,AK,AT,EP,DH,PD,BQ,AG,KI,MG,GR,CC,DX,CP,XA,ZP,TP,AZ,IF,YJ,CD,IU,MU
2026-07-13,50.0,50.0,50.0,50.0,3907400,0.0073,0.0112,0.0,0.0,0.0,0.0002,0.0006,0.0022,0.0,0.0,0.005,0.0002,0.0006,0.0406,0.0,0.0001,0.0001,0.0006,0.1083,0.0,0.0,0.0,-0.0851,0.0008,0.0145,0.0,0.001,0.0,0.0,-0.0994,0.0001,0.0,0.001,0.0,-0.01,0.0
2026-07-14,50.0,50.0,50.0,50.0,3778300,0.0019,0.0,0.0001,0.0,0.0,0.0,0.0052,0.0046,0.0203,0.0015,-0.0053,0.0001,0.014,0.086,0.002,0.0001,0.0,0.0003,0.0132,0.0,0.0,0.0014,-0.1817,0.0101,0.0248,0.0,0.001,0.0,0.0,0.0004,0.0,-0.0,0.0,0.0,0.0,0.0
2026-07-15,50.0,50.0,50.0,50.0,2216200,0.0012,-0.0001,0.0006,0.0,0.0,0.0003,0.0011,0.0011,0.0003,0.0,-0.0134,0.0,0.0,0.0174,0.0,0.0,0.0,0.005,0.0183,0.0501,0.0006,0.0,-0.0916,0.0,0.003,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,50.0,50.0,50.0,50.0,4197000,0.0007,0.0,0.0016,0.0,-0.0025,0.0073,0.0068,0.0258,0.0,0.0,0.0653,0.0027,0.0079,0.0368,0.0,0.0,0.0037,0.0005,0.0207,0.01,0.0,0.004,-0.2029,0.0006,0.0047,0.0,0.0,0.0003,0.0005,0.0,0.0054,0.0,0.0,0.0,0.0,0.0
2026-07-17,50.0,50.0,50.0,50.0,11295500,0.0618,0.0,0.0001,0.0005,-0.01,0.0,0.0106,0.0139,0.27,0.0,0.0169,0.0,0.0501,0.0551,0.0021,-0.0147,0.0,0.0003,0.0138,0.0003,0.0001,0.003,-0.54,0.0001,0.0659,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,50.0,50.0,50.0,50.0,15988100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,52.0,53.0,50.0,50.0,289935000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,51.0,53.0,50.0,52.0,168844100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,51.0,52.0,51.0,51.0,60164300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,50.0,52.0,50.0,51.0,83257700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
