Date,Close,High,Low,Open,Volume,Sektor,Sub_Sektor,XC,SQ,YU,YB,AZ,KK,IF,CP,FZ,GR,PD,XL,YP,CC,RO,DR,XA,BQ,NI,EP,DH,PG,OD
2026-07-13,525.0,545.0,525.0,545.0,15600,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,0.001,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0003,0.0,0.0,0.0005,-0.0038,0.0004,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0006
2026-07-14,535.0,540.0,525.0,535.0,56200,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059,-0.0009,0.0001,0.0,0.0,0.0,0.0,0.0012,0.0,0.0,-0.0067,0.0
2026-07-15,540.0,540.0,530.0,535.0,2200,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0002,0.0005,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004,0.0
2026-07-16,535.0,550.0,525.0,530.0,231200,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,-0.0049,0.008,0.0,0.0001,0.0,-0.0009,0.0,0.0,0.0,0.0813,-0.0135,-0.0056,-0.0497,-0.0168,0.0,0.0,0.0026,0.0001,0.001,-0.0017,0.0001,0.0,0.0
2026-07-17,545.0,560.0,540.0,550.0,171900,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,-0.0004,0.0004,0.0001,0.0001,-0.0007,0.0001,0.0001,0.0001,0.0001,0.077,-0.0061,-0.0091,-0.0535,-0.0133,0.0052,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,540.0,545.0,530.0,545.0,209200,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,550.0,550.0,540.0,545.0,49300,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,550.0,555.0,540.0,550.0,65500,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,545.0,555.0,540.0,555.0,180400,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,545.0,545.0,530.0,545.0,50500,,,,,,,,,,,,,,,,,,,,,,,,,
