Date,Close,High,Low,Open,Volume,NI,RO,XA,GI,CC,OD,YB,QA,DR,SQ,YP,XC,LG,KK,XL,ZP,CD,EP,TP,DH,PD,BQ,AZ,RG,MG,PC,KI,GR,HD,FZ,CP,PG,ES,HP,YJ,AI,IF,MU,ZR,AT,PO,DX,ID,AG,AD
2026-07-13,71.0,74.0,69.0,70.0,5920900,0.0069,-400.0,0.0,0.0,0.0401,-0.005,-0.0198,0.0059,0.0017,-0.0004,-0.0174,0.0036,-0.0001,0.0152,-0.0292,0.0,0.0,-0.0007,0.0,0.0,-0.0052,0.01,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0027,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0,0.0,0.0057,0.0,-0.0049,0.0,0.0,-0.0035
2026-07-14,73.0,81.0,70.0,70.0,22324600,-0.0071,0.0001,0.0091,0.0,-0.0456,0.0071,-0.0194,-0.0118,-0.0023,0.0002,0.0373,0.0173,0.0073,-0.0249,0.119,0.0001,0.0001,-0.0134,-0.0001,0.0038,-0.0911,-0.0124,0.0013,-0.0008,0.0,-0.0,0.0234,-0.0116,0.0,-0.0032,0.0186,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,-0.0008,-0.0062,0.0,0.0061,-0.0002,0.0,0.0
2026-07-15,74.0,78.0,73.0,74.0,4660500,0.0079,0.0,-0.0087,0.0,-0.0321,-0.0002,0.0049,0.0001,0.0143,0.0,-0.0101,-0.0116,0.0,-0.0044,0.0302,0.0,0.0,0.0,0.0,0.0004,-0.0023,-0.0022,0.0003,0.0,0.0,0.0,0.0,0.0075,0.0,0.0058,-0.0127,0.0038,0.0,0.0094,0.0,0.0,0.0,0.0,0.0,-0.0004,0.0,0.0,-0.0001,0.0001,0.0
2026-07-16,80.0,92.0,74.0,74.0,123565800,0.0333,-0.0004,0.0424,-0.0,0.0241,-0.0145,-0.0047,0.0004,-0.0033,0.0292,-0.1032,0.0013,-0.0112,-0.1419,0.3695,-0.0123,-0.0352,0.0059,0.0055,-0.0315,-0.0669,0.0023,0.012,0.0142,-0.006,0.0,-0.0246,-0.0188,0.0004,-0.0235,-0.0724,-0.004,0.0108,-0.0098,-0.0027,-0.0,0.0013,0.0005,-0.0001,0.0405,-0.0,-0.0066,0.0,0.0,0.0
2026-07-17,80.0,83.0,77.0,81.0,13413600,-0.0433,-0.0003,-0.0399,-0.0,-0.0001,0.0009,-0.0002,-0.0001,0.0101,-0.001,0.0673,-0.102,0.0024,0.0154,-0.0501,0.0123,0.0314,-0.0063,-0.0051,-0.0037,0.0998,0.0073,-0.0028,0.0044,-0.0001,0.0001,-0.0,-0.0012,0.0002,0.008,-0.0033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,80.0,82.0,79.0,80.0,4517700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,80.0,82.0,80.0,80.0,4650600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,83.0,84.0,79.0,80.0,17419100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,81.0,84.0,81.0,84.0,5780300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,79.0,82.0,78.0,81.0,1788700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
