Date,Close,High,Low,Open,Volume,XL,PD,AT,YB,XC,AZ,CC,NI,TP,OD,KK,DR,GR,SQ,YP,BQ,EP,AG,ES,YU
2026-07-13,242.0,250.0,226.0,230.0,124400,-0.0069,0.0001,0.0,0.0,-0.0066,0.0048,0.0014,-0.0035,0.0,-0.0002,0.0092,-0.0,0.0005,0.0006,0.0,-0.0005,0.0,0.0,0.0,0.0012
2026-07-14,242.0,250.0,228.0,250.0,73700,-0.0078,0.001,-0.0001,0.0,0.0007,-0.0006,0.0062,0.0026,0.0,-0.0004,-0.0018,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,-0.0,0.0
2026-07-15,236.0,244.0,222.0,232.0,10200,-0.0009,0.0002,0.0001,0.0,0.0,-0.0002,0.0006,0.0,0.0,0.0002,0.0001,-0.0,0.0,0.0,-0.0001,0.0,0.0,-800.0,0.0,0.0
2026-07-16,234.0,244.0,232.0,236.0,31200,-0.0005,0.0,0.0,0.0,0.0,-0.0002,0.0018,0.0009,0.0,0.0,-0.0059,0.0002,0.0008,0.0006,0.0024,-0.0,0.0,0.0,0.0,0.0
2026-07-17,238.0,252.0,230.0,242.0,11300,0.0006,0.0005,-0.0,-0.0,-0.0005,-0.0009,0.0008,-0.0003,0.0,0.0,-0.0,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,244.0,246.0,238.0,238.0,21300,,,,,,,,,,,,,,,,,,,,
2026-07-21,304.0,304.0,244.0,244.0,1528700,,,,,,,,,,,,,,,,,,,,
2026-07-22,280.0,314.0,270.0,314.0,760200,,,,,,,,,,,,,,,,,,,,
2026-07-23,274.0,286.0,272.0,280.0,114900,,,,,,,,,,,,,,,,,,,,
2026-07-24,264.0,272.0,252.0,272.0,43400,,,,,,,,,,,,,,,,,,,,
