Date,Close,High,Low,Open,Volume,DH,MG,YP,XA,RO,OD,NI,SF,XC,AT,KK,PD,XL,LG,CC,EP,GR,DR,SQ,AZ,BQ,YB,QA,YJ,YU,HP,KI,GI,CP,CD,IF,MU,AO
2026-07-13,40.0,43.0,39.0,40.0,4185800,0.0,-0.0009,-0.0105,0.0,-0.0012,-0.0013,0.0044,0.0078,0.005,0.0666,0.0012,0.0032,-0.0479,0.0,-0.018,-0.0008,-0.0041,-0.0,-0.0001,0.0,-0.0053,0.0,0.0001,0.0016,0.0,0.0001,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,39.0,41.0,39.0,40.0,2586500,-0.0,0.0038,-0.0075,0.0,-0.0001,-0.0031,-0.0036,0.0,-0.0055,0.007,0.011,0.0006,-0.0064,0.0,0.0117,0.0,-0.012,0.0,-0.0001,0.0,-0.0003,0.0,0.0051,0.0008,0.0,-0.0014,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,41.0,42.0,39.0,39.0,6557200,0.0,-0.0012,-0.0195,-0.0008,-0.0058,-0.0001,-0.0092,-0.0083,0.005,0.0,-0.001,0.0,-0.0397,-0.0001,-0.0229,-0.0007,-0.021,-0.0,0.1259,0.0006,0.0003,0.0121,-0.0043,-0.0012,-0.0076,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,41.0,43.0,40.0,43.0,1257300,0.0043,-0.0012,-0.0047,-0.0004,0.0002,-0.0006,0.0012,0.0,0.0009,0.0,0.0,0.0035,0.0053,0.0,-0.0,-0.0008,0.0028,0.0001,0.0,-0.001,0.0041,-0.0136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,41.0,42.0,40.0,42.0,1901500,0.0,0.0011,-0.0017,-0.0004,-0.0002,-0.0012,-0.0004,0.001,-0.007,-0.0002,0.0004,0.0,-0.0442,0.0519,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,41.0,42.0,40.0,40.0,2256200,0.0,0.003,0.0001,0.0,-0.0001,-0.0001,0.0,0.0,-0.0062,-0.0004,0.0012,0.0103,-0.0145,0.0,0.005,0.0,0.0001,0.0,-0.0005,0.0,0.0008,0.0,-0.0,-0.0017,0.0,0.0,0.0,0.0,0.0554,0.0,0.0,0.0008,-0.0533
2026-07-21,45.0,45.0,41.0,41.0,7873000,0.0,-0.0023,-0.0013,0.0,0.0,-0.0044,-0.0025,-0.0009,0.0051,0.0667,-0.0133,-0.0106,-0.0004,-0.0001,-0.017,0.0022,-0.1039,0.0,0.0,-0.0,-0.0001,-0.0005,-0.0025,-0.0032,0.044,0.0,0.0,0.0,0.046,0.0,0.0,-0.001,0.0
2026-07-22,45.0,49.0,43.0,47.0,9034500,0.0,0.0013,-0.0073,0.0,-0.011,0.0007,0.0022,0.002,-0.0106,0.0669,0.0004,0.0001,0.0415,-0.0,-0.0002,-0.0026,0.0,0.0,-0.1342,-0.0,-0.0053,-0.0043,-0.0,-0.0022,0.0067,0.0001,0.0,0.0,0.0553,0.0002,0.0004,0.0,0.0
2026-07-23,44.0,46.0,44.0,45.0,2802400,0.0,0.0009,0.0011,0.0,0.0,0.0058,0.0009,0.0,0.0037,0.0,0.0045,0.0075,0.043,0.0,0.0011,-0.0008,-0.0,0.0,0.0003,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0679,0.0,0.0,0.0,0.0
2026-07-24,43.0,45.0,42.0,45.0,1507000,0.0,0.0038,0.0024,0.0,0.0,-0.0001,0.0006,0.0021,-0.0066,-0.0,0.001,-0.0001,-0.0097,0.0,0.0109,0.0006,-0.003,0.0,-0.0018,0.0,-0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
