Date,Close,High,Low,Open,Volume,XC,SQ,YU,KK,CP,AT,OD,DX,EP,XL,YP,CC,FZ,BQ,IF,NI,GR,HP,PD,DR,XA,AZ,PC,AG,DH,YB,MU,RO,LG,QA,YJ,SA,KI,IH,ZP,ZR,AR
2026-07-13,452.0,456.0,450.0,456.0,344500,0.0102,-0.0217,-0.0043,0.0026,0.0,0.0,0.0014,0.0181,-0.0025,-0.0089,-0.0012,-0.0009,0.0,-0.0044,0.0,-0.0008,0.0194,-0.0075,-0.0038,0.0001,0.0,0.0,0.0,0.0,0.0041,-0.0004,-0.0,0.0,0.0,0.0001,0.0025,0.0,0.0,-0.0007,0.0004,-0.0018,-0.0002
2026-07-14,454.0,456.0,450.0,452.0,502800,0.04,-0.0081,-0.0242,0.0066,-0.0015,0.0,-0.0439,0.0352,-0.0025,-0.0085,0.0387,-0.0194,0.0,-0.0,0.0,-0.0047,0.0005,0.0021,-0.0046,0.0,0.0,0.0,0.0007,0.0,-0.0,-0.0018,-400.0,0.0002,0.0005,-0.0,0.0003,-0.0054,0.0001,0.0,0.0,0.0,0.0
2026-07-15,454.0,456.0,448.0,454.0,414500,-0.006,0.0051,0.0212,0.0067,0.0,0.0,-0.0263,0.009,-0.0009,-0.0034,0.0049,0.0126,0.0,0.0,0.0,-0.0315,-0.0038,0.0035,-0.0258,0.0042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,454.0,456.0,450.0,454.0,524000,-0.0036,-0.0095,-0.002,0.0051,0.0,0.0,0.0152,0.0086,0.0009,-0.1819,0.0247,0.1319,0.0,0.0,0.0,-0.0009,-0.0,0.0027,0.0007,0.0059,0.0001,-0.0,-0.0001,0.0,0.0009,0.0011,-200.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,456.0,458.0,452.0,456.0,290600,-0.0064,0.0108,-0.0003,0.0079,-0.0091,0.0,-0.0256,0.0113,-0.001,-0.0025,0.0097,0.0082,0.001,-0.0056,-0.0002,-0.0001,-0.0117,-0.0005,0.0093,0.0046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,454.0,466.0,454.0,454.0,333900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,460.0,464.0,450.0,460.0,555100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,456.0,462.0,448.0,458.0,1035900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,456.0,460.0,452.0,456.0,517900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,452.0,456.0,448.0,456.0,223200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
