Date,Close,High,Low,Open,Volume,NI,RO,OD,YB,SQ,YP,XC,KK,AK,XL,KZ,PD,BQ,AZ,IF,AG,CC,FZ,CP,EP,RX,LS,TP,KI,ZP,XA,DH,DR,LG,GR,QA
2026-07-13,2360.0,2400.0,2350.0,2390.0,34000,-0.0012,0.001,0.0023,0.0,0.0037,0.0014,0.0012,0.0,0.0,0.0076,-0.0322,0.01,0.0014,0.0,0.0,0.0,-0.0228,0.0,0.0,0.0,0.0,0.0,0.0,0.0036,0.0,0.0239,0.0,0.0,0.0,0.0,0.0
2026-07-14,2330.0,2380.0,2300.0,2360.0,105700,0.0002,0.0,0.0037,-0.0,0.0174,0.0002,-0.0032,0.0,0.0,0.0173,-0.0252,-0.0099,-0.1303,0.0,-0.0119,0.0,0.0257,0.0,0.0,0.0002,0.0,0.0,0.0,0.0002,0.1155,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,2330.0,2390.0,2330.0,2340.0,45600,0.023,0.0,0.0141,0.0,0.0002,0.0054,-0.0273,0.0,0.0061,-0.0213,0.0,0.0,0.0007,0.0,0.0,0.0,0.0066,0.0,0.0,0.0,-0.0213,0.0,0.014,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,2340.0,2400.0,2320.0,2330.0,26400,0.0,0.0026,0.0033,0.0,0.0032,0.0021,0.0,0.0016,0.0005,0.0112,0.0,0.0014,0.0012,0.0007,0.0,0.0,0.0042,0.0,0.0007,-0.0012,-0.035,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,2390.0,2410.0,2340.0,2340.0,107000,0.0421,0.0164,-0.018,0.0012,0.0242,-0.0014,-0.0332,0.0036,0.0153,0.0308,-0.1132,-0.0007,0.011,0.0076,0.0024,-0.0002,0.0117,0.0012,-0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,2360.0,2460.0,2360.0,2450.0,193700,0.0295,-0.0163,0.0029,0.0099,-0.0069,0.0706,0.0287,0.0,0.0104,0.1089,-0.089,0.001,-0.212,0.0005,0.0005,-0.0047,0.0672,-0.0012,0.0,-0.0,0.0,0.0,0.0,0.0007,0.0,0.0,-0.002,-0.0002,0.0,0.0002,0.0012
2026-07-21,2380.0,2410.0,2360.0,2380.0,129400,-0.0147,0.0005,-0.0088,0.0,-0.0031,-0.0118,-0.0177,-0.0003,0.0151,-0.1048,0.0,0.0354,-0.0036,-0.006,0.0024,0.0,0.0788,0.0,0.0,0.0,0.0,-0.0021,0.0,-0.0002,0.0,0.0482,0.0,-0.0024,0.0,0.0,-0.0048
2026-07-22,2410.0,2430.0,2380.0,2380.0,29000,0.0093,-0.0027,0.0026,0.0,-0.0013,-0.0134,-0.0015,0.0003,0.0005,-0.0113,0.0,0.0099,-0.0024,0.0,0.0007,0.0,0.005,0.0,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0024,0.0
2026-07-23,2390.0,2420.0,2350.0,2410.0,89400,-0.0105,-0.0014,-0.0019,0.0012,-0.0095,-0.0379,0.0296,0.0005,0.0084,-0.0375,0.0,-0.0133,0.0017,0.0005,0.0,0.0,0.0511,0.0,0.0,-0.0014,0.0,0.0,0.0072,0.0,0.0,0.0,0.0017,0.0012,0.0106,0.0,0.0
2026-07-24,2370.0,2400.0,2330.0,2400.0,26000,0.0014,0.0,-0.0,-0.0012,-0.0097,0.0009,-0.0099,0.0024,0.0002,0.0149,0.0,-0.0014,0.005,0.0002,0.0,0.0,-0.0028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,-0.0012,0.0,0.0,0.0
