Date,Close,High,Low,Open,Volume,XC,SQ,HD,KK,BQ,NI,OD,PD,XL,YP,CC,RO,QA,LG,AT,EP,GR,DR,AZ,XA,AI,HP,DX,YU,DH,MG,CD
2026-07-13,179.0,184.0,178.0,184.0,434100,-0.0002,-0.0,0.0001,0.0,0.0004,0.0017,0.0026,0.0012,-0.0207,0.0076,0.0091,0.0,0.0,-0.0149,0.0002,-0.0003,0.0134,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0009,0.0008,0.0
2026-07-14,182.0,185.0,177.0,177.0,417900,0.0062,-0.0017,0.0,0.0001,-0.0004,0.003,-0.0014,-0.0132,-0.001,-0.0161,-0.0118,-0.0001,0.0001,0.0362,-0.0002,0.0,-0.0001,0.0,0.0,-0.0,0.0,0.0,0.0,0.0011,-0.0001,-0.0008,0.0
2026-07-15,179.0,183.0,179.0,181.0,214200,0.0009,0.0,-0.0001,0.0007,0.0,-0.0006,-0.0028,-0.0147,0.0049,0.0007,0.0032,0.0,0.0,0.0,0.0001,0.0,0.009,0.0,0.0016,0.0001,-0.0,0.0,-0.003,0.0,0.0,0.0,0.0
2026-07-16,184.0,188.0,179.0,179.0,772700,-0.0097,-0.0089,0.0001,-0.0024,-0.0002,-0.0014,-0.0019,-0.0067,-0.0293,-0.0236,0.0167,0.0,-0.0001,0.0695,0.0004,0.0021,-0.0027,-0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,183.0,185.0,182.0,185.0,170900,-0.0021,-0.0008,-0.0001,0.0027,0.0,-0.0011,0.0005,-0.0006,-0.008,0.0018,0.0077,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,182.0,186.0,178.0,180.0,670000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,184.0,185.0,182.0,184.0,741700,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,181.0,186.0,180.0,185.0,430000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,182.0,184.0,180.0,183.0,302500,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,184.0,184.0,177.0,182.0,390600,,,,,,,,,,,,,,,,,,,,,,,,,,,
