Date,Close,High,Low,Open,Volume,KI,YJ,MG,EP,ZP,OD,GR,CC,YP,DR,SQ,NI,XC,AT,KK,PD,XL,YB,SH,YU,HD,BQ,IF,CD,TP,LG,QA,PC,DX,SA,CP,RG,AG,AZ,LS,RO,MU
2026-07-13,208.0,210.0,204.0,210.0,39800,0.0,0.0062,0.0,-0.006,0.0,0.0001,0.0,0.0003,-0.0001,0.0,-0.0,0.0,-0.0002,0.0,0.0,0.0,-0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,260.0,260.0,210.0,210.0,1320200,-0.0001,0.0,-0.0004,0.0004,0.0054,-0.0105,0.0,0.0455,-0.0244,0.0,-0.0011,-0.0002,-0.0487,0.0,-0.0001,-0.0025,0.0516,0.0,0.0,0.0,0.0,-0.0004,0.0,0.0,0.0,-0.0062,0.0,0.0,-0.0,0.0,-0.0022,0.0,0.0,0.0,-0.0,-0.0001,-0.0062
2026-07-15,324.0,324.0,324.0,324.0,977800,-0.0009,0.0,0.0065,0.0028,-0.0,-0.0124,0.0107,-0.0106,0.0048,-0.0,-0.0092,0.0141,-0.0074,-0.0004,-0.0079,-0.0075,-0.0386,0.0459,0.0,0.0097,0.0002,0.0044,-0.0007,-0.0006,0.0,0.0648,0.0001,-0.0003,-0.0,-0.0162,-0.0162,-0.0324,-0.0016,-0.0011,0.0,0.0,0.0
2026-07-16,404.0,404.0,404.0,404.0,1123500,-0.0009,0.0,-0.0081,0.0,0.0,-0.0017,0.0,-0.0827,-0.0686,0.0,-0.0078,-0.0245,-0.0156,-0.0002,-0.0082,-0.0053,-0.1788,-0.0046,0.3759,-0.0121,-0.0002,-0.0072,-0.0,-0.0,0.0722,-0.0214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,505.0,505.0,505.0,505.0,270300,-0.0081,0.3843,0.0097,-0.0112,-0.0081,-0.0028,-0.017,-0.1187,-0.0002,-0.0003,-0.0154,-0.0126,-0.0056,-0.0012,-0.0002,-0.002,-0.1625,-0.0283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,505.0,505.0,505.0,505.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,630.0,630.0,630.0,630.0,455600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,630.0,630.0,630.0,630.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,630.0,630.0,630.0,630.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,630.0,630.0,630.0,630.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
