Date,Close,High,Low,Open,Volume,CD,NI,DH,RO,PD,OD,XL,DR,KK,AT,YU,SQ,YP,XC,CC,AK,CP,ZP,EP,AG,KI,GR,GI,LG,IU,YB,YJ,TP,BQ,RX
2026-07-13,1765.0,1770.0,1760.0,1765.0,23400,0.0,-0.0058,0.0,0.0,0.006,0.0009,0.0072,0.0,0.0007,0.0,0.0,0.0004,0.0004,-0.0057,-0.0044,0.0009,0.0004,0.0,0.0,0.0,0.0,-0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,1770.0,1775.0,1750.0,1770.0,366600,0.0,0.0228,0.0061,-0.1281,-0.003,0.0005,0.0141,0.0,0.0109,0.0,-0.3085,0.0375,-0.0298,0.0326,0.0705,-0.0318,0.0,0.0088,0.0,-0.0159,0.0019,-0.0009,0.0,0.018,0.0,-0.004,-0.0175,0.0009,0.0051,0.31
2026-07-15,1755.0,1780.0,1750.0,1770.0,137100,0.0,0.01,0.0002,0.0002,0.0137,0.0037,0.0162,0.0,0.0074,0.0,-0.1839,0.0539,0.0031,0.0049,0.0612,0.0011,0.0,0.0003,0.0,-0.0002,0.0,0.0004,0.0009,0.0018,0.0051,0.0,0.0,0.0,0.0,0.0
2026-07-16,1755.0,1765.0,1750.0,1765.0,62500,0.0,0.0103,0.0002,0.0,0.0012,-0.0002,0.0107,0.0004,0.0007,0.0,-0.0763,0.029,0.0009,0.0053,0.001,0.0028,0.0,0.0053,0.0002,0.0044,0.0002,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,1765.0,1770.0,1750.0,1750.0,61600,-0.0004,-0.0156,0.0093,0.0016,0.0126,0.0005,-0.0124,0.0002,0.0005,0.0002,0.0018,-0.0198,-0.0093,-0.0094,0.0303,0.0048,0.0049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1770.0,1775.0,1765.0,1765.0,142200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,1770.0,1780.0,1770.0,1775.0,92900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,1775.0,1775.0,1770.0,1775.0,59600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,1780.0,1785.0,1775.0,1780.0,65900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,1780.0,1785.0,1770.0,1785.0,84100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
