Date,Close,High,Low,Open,Volume,Sektor,Sub_Sektor,XC,SQ,QA,LG,AZ,KK,CP,ZP,AT,ZR,AK,KI,OD,XL,AI,DX,YP,CC,GI,TP,YB,BQ,NI,IF,GR,PD,RO,DR,YU,XA,BK,EP,DH,MG,AR,IU,AO,AG,MU,OK,HD
2026-07-13,66.0,71.0,64.0,65.0,64894300,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,0.0468,0.0141,-0.0,-0.0162,-0.0029,-0.0027,-0.0366,0.0,-0.0002,0.0,-0.0212,0.0008,0.002,0.3703,-0.0242,0.0003,0.0301,-0.332,-0.0014,0.0001,0.0227,-0.0218,0.0345,0.003,0.0143,-0.0293,0.0001,0.0003,0.0238,-0.0786,0.001,0.0053,0.0097,-0.0092,0.0,0.0,-0.0029,0.0,0.0088,-0.0086,-0.0001
2026-07-14,66.0,69.0,65.0,66.0,30577500,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,0.0538,0.0142,0.0001,-0.0,-0.0015,-0.0006,0.0025,0.0,-0.0,0.0,0.0023,0.002,-0.0004,-0.4493,0.0136,0.0218,0.0062,0.2919,0.0013,-0.0235,0.0234,0.0209,-0.0115,0.0,0.002,0.0049,-0.0001,0.0,0.0,0.0002,-0.001,0.022,-0.0001,-0.003,0.0066,0.0,0.0012,0.0,0.0,0.0,0.0
2026-07-15,66.0,68.0,65.0,67.0,10799800,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,-0.0673,-0.0739,0.0065,0.0002,-0.0011,-0.0014,-0.0004,0.0,-0.0,0.0,-0.0004,0.0,-0.0041,0.1247,0.0,-0.0004,0.0053,-0.023,-0.0013,0.0,-0.0037,0.0148,-0.0018,0.0,0.0333,-0.0099,0.0,-0.0086,0.0,0.0013,0.0,0.0016,0.0,0.0066,0.0065,-0.0002,-0.0033,0.0,0.0,0.0,0.0
2026-07-16,66.0,69.0,64.0,66.0,19562600,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,-0.0279,0.0325,0.0,0.017,0.0007,-0.002,0.0344,0.0,0.0,-0.0,0.0001,0.0,0.0024,-0.214,0.0,-0.0017,0.071,0.2569,0.002,-0.0001,-0.022,0.0075,0.0166,0.0,-0.0009,0.0202,0.0,-0.0003,-0.1056,-0.0645,0.0009,-0.006,-0.0,-0.0033,-0.0134,0.0001,-0.0003,0.0,0.0,0.0,0.0
2026-07-17,68.0,68.0,66.0,67.0,11884800,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,-0.0108,0.0246,-0.003,-0.0002,0.0121,-0.0026,0.0354,-0.0007,0.0073,-0.0,0.0118,-0.0001,-0.0003,0.0715,-0.0134,-0.0008,-0.0916,0.0087,-0.002,-0.0452,0.0208,0.0289,-0.0221,-0.0034,-0.0203,-0.0038,-0.0001,-0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,68.0,69.0,67.0,68.0,15867400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,71.0,71.0,66.0,69.0,47007900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,70.0,72.0,68.0,71.0,30078000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,69.0,73.0,68.0,71.0,40548500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,65.0,70.0,61.0,70.0,28944800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
