Date,Close,High,Low,Open,Volume,XC,YU,LG,IH,AZ,XA,MI,PC,AK,EP,RB,YP,CC,SF,BF,NI,IU,SQ,YJ,KK,LS,CP,ZP,ZR,KI,OD,AI,SS,AG,AD,XL,MG,TP,RF,PG,AO,GR,FS,PD,DR,AT,DH,RS,ES,YB,BQ,HD,QA,RO,SH,FZ,ID,IF,IN,HP,CD,PI,DX,OK,SA,AF,GA,BR
2026-07-13,1275.0,1275.0,1275.0,1275.0,11778600,-5.7,0.0,0.0005,0.0,2.7,0.3838,0.0,0.0,0.0,0.0048,-0.1827,0.1693,0.3808,0.0,0.0,0.2138,0.0,0.1181,-0.0177,0.037,0.0,-0.0979,0.2139,0.0,0.0038,0.1751,0.1275,0.0,-0.0001,0.0052,3.0,-0.066,-0.0032,0.0,0.0,0.2423,0.0217,0.0,-1.6,0.0094,0.027,0.0,0.0,0.0,-0.0576,0.1462,0.0,-0.04,0.0135,0.0051,0.0005,0.0,-0.0287,0.0,0.0,0.0,-0.0045,0.0013,0.0,0.0,0.0,0.0038,-0.1906
2026-07-14,1085.0,1355.0,1085.0,1265.0,212995100,-2.4,-6.8,0.5625,-0.0177,2.0,-0.8027,0.144,0.0,0.0,0.2366,-0.384,3.2,8.4,-0.0227,-0.0545,1.8,-0.2904,0.5874,1.1,2.8,0.0,1.1,0.0,0.0,0.0231,1.0,0.2611,0.3264,-0.0791,-0.0106,-10.6,6.4,-0.0615,0.0,-0.0709,-0.5807,0.2559,-0.0617,-5.8,-1.4,0.0243,-0.013,0.0,0.1002,-0.464,0.0794,-0.2031,-0.0225,0.3891,0.0,0.0228,0.0,0.1457,-0.7017,0.0,0.0,-0.0111,0.052,0.1249,-0.1596,-0.0869,0.0,0.0
2026-07-15,1035.0,1150.0,995.0,1020.0,198777100,1.4,-3.3,0.3099,0.0,-3.5,0.1955,0.0,-0.0104,0.0,-0.0738,0.258,2.3,4.2,-0.0014,0.0,2.0,0.0,0.194,-0.0028,0.2149,0.0,1.1,0.1775,0.1487,0.0,1.3,0.1852,0.1021,0.0,-0.0028,1.7,-5.0,0.1535,0.0,-0.0075,0.0,0.3228,0.2068,0.0,-5.6,0.1014,0.11,-0.0002,-0.0957,0.0,0.123,-0.1222,0.0,-0.134,0.1123,0.3427,0.0,0.1709,-0.0051,0.0,0.0,-0.0061,-0.0574,-0.0002,-0.052,0.0,0.0,0.0
2026-07-16,1005.0,1070.0,1005.0,1045.0,64480700,1.3,-9.2,-0.3538,0.124,8.5,-0.0078,0.0,0.0,-0.073,0.0677,-0.0,0.9888,1.5,0.0,0.0,-0.6491,0.0,0.2364,-0.1301,0.4859,0.0,-0.2022,0.1837,0.053,0.2794,1.1,0.1928,0.0,-0.1038,-0.0,-5.8,-0.1511,0.087,-0.0005,-0.0022,-0.0383,1.3,0.102,0.5736,0.2848,0.0391,0.0163,-0.0001,-0.0922,0.0152,-0.0037,0.0327,0.0047,-0.038,-0.1317,-0.4141,-0.0001,-0.1828,0.0505,0.0379,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,895.0,1030.0,895.0,1030.0,112720600,2.8,-18.7,0.3549,-0.0919,2.2,0.0984,-0.0363,-0.001,-0.0029,0.1707,0.0758,1.4,6.9,-0.0006,-0.0194,1.4,-0.0026,0.6242,0.4955,1.1,-0.0019,0.212,0.1437,0.0914,0.1692,2.4,0.2244,0.1905,0.1127,-0.0017,-7.7,-0.2138,0.5742,-0.0383,-0.0025,0.1376,-0.2075,0.1089,2.1,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,785.0,905.0,770.0,895.0,101095700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,715.0,820.0,690.0,775.0,90658600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,740.0,765.0,705.0,750.0,49769700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,720.0,755.0,695.0,755.0,32924200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,645.0,720.0,635.0,720.0,32358800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
