Date,Close,High,Low,Open,Volume,XC,YU,LG,IH,AZ,XA,MI,AT,AK,EP,RB,YP,DH,CC,ES,YB,NI,BQ,PD,HD,QA,SQ,YJ,KK,CP,ZP,ZR,OD,DX,AI,BK,XL,FZ,MG,TP,IF,MU,AF,AO,GR,BR,FS,CD,RO,DR,PC,PF,FO,HP,SF,LS,KI,AG,ID,SA,AR,IN,TF,BF
2026-07-13,276.0,278.0,266.0,272.0,53994100,-0.2629,-0.0001,-0.7521,0.0,0.1574,0.0291,0.0,-0.0268,0.7631,0.0184,0.0,-0.3018,-0.0039,0.2961,-0.0003,-0.4285,-0.144,-0.2177,-0.3158,0.0102,0.0016,-0.0174,-0.002,-0.0325,0.5909,-0.429,0.0,1.2,0.0,-0.1304,0.0489,0.0803,0.0001,0.1272,0.0438,0.1334,-0.2289,0.0,0.163,-0.0377,0.0,0.0,0.0,-0.0029,-0.0136,-0.0027,-0.006,0.0,-0.2161,0.0015,0.0,0.0033,0.001,0.0,0.0,0.0,0.0,0.0,-0.069
2026-07-14,272.0,282.0,270.0,278.0,104465700,-0.3753,0.0307,-0.0108,0.0,0.0705,-1.0,0.0,0.0145,-0.7636,0.0281,0.0,-1.6,0.1059,0.4074,-0.0011,0.1441,1.7,-0.5038,0.397,0.0932,0.0,0.1564,0.0921,0.2681,-0.8757,1.1,-0.001,0.3766,0.0,-0.0067,-0.0497,0.8151,0.0,0.051,0.0105,0.0794,0.1359,0.0,0.0,0.2417,-0.0028,0.0,0.0411,0.0071,0.0083,0.0,0.0,-0.0028,-1.2,0.0,0.0,0.0174,0.0,0.0,0.0,0.0,0.0,-0.0007,0.0
2026-07-15,274.0,280.0,270.0,270.0,45250900,-0.2189,-0.0107,0.1013,0.0,-0.182,0.0153,0.0,0.0735,-0.7293,-0.0349,0.0,0.3257,0.0381,0.4535,0.0,-0.0242,-0.5068,0.0507,-0.4671,0.0133,-0.0122,-0.1095,0.1556,-0.0401,0.1168,0.0137,0.0,-0.0676,0.0,-0.0111,0.1186,0.8731,0.0007,-0.145,-0.053,0.0,0.2677,0.0,-0.0139,-0.0305,0.0,0.0,-0.0058,-0.0045,0.0192,0.0,0.0,0.0,0.0191,0.0,0.0004,-0.0044,0.0013,0.0139,0.0,0.0,-0.0,0.0,0.0
2026-07-16,274.0,282.0,270.0,272.0,73872000,-0.1506,-0.0129,-0.1255,0.0,0.1865,0.0889,0.0,0.0001,0.9281,-0.1163,0.0,0.0553,0.0018,-0.2604,0.0,-0.1885,-0.0516,-0.8999,0.0993,-0.0616,0.0027,-0.0602,1.0,0.3008,-0.0423,0.0554,0.0128,0.0422,0.0003,-0.0384,-0.0644,-0.4879,0.0648,0.1734,-0.0021,0.0074,-0.0856,0.0,-0.112,-0.116,0.0,-0.0005,0.0069,0.0002,-0.0082,-0.0,0.0027,0.0027,-0.149,0.0,0.014,-0.0362,0.0045,-0.0082,-0.0024,0.0,0.0,0.0,0.0
2026-07-17,288.0,292.0,272.0,276.0,220457500,0.2228,-0.0166,0.0947,0.0112,0.3595,0.1342,0.0286,-0.0326,2.1,0.042,0.0058,0.312,-0.0546,-1.3,-0.0901,-0.0415,-0.956,-0.0532,0.3964,0.0283,-0.0102,-0.0374,-1.3,-0.1366,0.871,-1.3,-0.0142,0.0511,0.0056,-0.4585,-0.0564,-0.4511,0.0322,4.7,0.0039,-0.5644,-2.3,-0.1152,0.4641,-0.3285,-0.0171,-0.0222,-0.0419,0.0037,-0.0421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,286.0,294.0,282.0,288.0,100219300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,302.0,304.0,284.0,286.0,325900800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,294.0,306.0,288.0,302.0,150623900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,288.0,304.0,282.0,294.0,204392600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,272.0,288.0,270.0,288.0,99787600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
