Date,Close,High,Low,Open,Volume,SS,ZR,CP,GR,RG,XL,CC,YP,IF,AO,KK,FS,DX,SH,XC,FZ,AZ,HP,BK,PC,TF,MG,YJ,PD,DR,XA,EP,KI,AG,MI,SQ,TP,OD,BQ,AK,NI,YU,YB,ZP,LG,DH,AT,QA,HD,BS,CD,IU,IH,ES,AI,BR,SA,RO
2026-07-13,5350.0,5500.0,5250.0,5350.0,5579800,-5.7,0.0,1.3,0.3429,0.0,4.1,-0.8294,1.0,1.6,0.0,0.1355,0.0505,0.0,0.0642,-0.0602,0.2498,-0.6414,-5.1,0.7456,0.0,0.0,0.5606,0.2314,0.5292,0.2695,0.3014,0.0968,-0.9566,0.1003,0.0,-0.0384,0.0,0.3457,0.046,1.1,-0.1813,0.0,-0.0782,-0.2606,0.1094,0.0925,0.0,0.0,0.0403,0.0,0.0,0.0,0.0,0.0,0.0724,0.2729,0.0,-0.0016
2026-07-14,5325.0,5575.0,5300.0,5425.0,9575000,-5.9,0.0,-1.6,0.1441,0.0,2.4,6.4,0.0,0.1938,0.0553,0.1421,-0.0515,0.0,0.0,2.8,0.1997,2.6,-10.6,-0.5136,0.0,0.0,0.0692,-0.2081,0.2809,0.2406,1.6,0.9139,-0.0008,-0.2626,0.0,0.2482,0.063,0.2793,0.2775,-2.2,0.2122,0.1477,0.2396,0.8356,0.6308,0.0,0.0,0.0,0.2242,0.0,0.134,0.0,-0.1381,0.0,0.0,-0.0421,-0.0022,0.0
2026-07-15,5175.0,5400.0,5175.0,5375.0,6942300,-9.0,0.0,-0.0719,-0.307,0.0,6.6,4.4,-0.4352,4.0,0.0,0.2729,0.0,0.0,0.0053,0.7215,0.0,0.2416,-9.9,0.012,0.0256,-0.0005,-0.2716,0.0217,0.9916,-0.0593,0.3844,-0.1418,-0.0976,0.3045,0.0,0.1574,0.1303,0.5263,-0.0051,1.5,0.2012,0.068,0.0761,-0.6105,0.2617,0.2171,0.0627,0.0106,-0.0054,0.0,-0.1205,-0.0002,-0.2269,-0.0005,0.0655,-0.001,0.0,0.0
2026-07-16,5000.0,5225.0,5000.0,5200.0,8089700,-15.9,0.0,0.2906,-0.2617,0.0,4.1,5.9,0.9668,0.0903,0.0375,0.3514,0.0,0.0,0.0,1.8,0.0,1.6,-5.4,1.2,0.0467,-0.0056,-0.0784,0.057,1.0,0.0982,0.1328,-0.1092,0.0871,0.2589,0.125,0.6411,-0.0685,1.4,-0.1649,-0.0081,2.1,0.0566,0.1441,-0.7787,-0.1202,-0.0436,0.0621,-0.003,-0.2565,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,4980.0,5075.0,4910.0,5050.0,6368500,-4.6,0.025,-0.4453,0.0334,-0.005,1.6,5.4,0.3779,-1.2,0.0624,0.1338,0.154,0.0154,-0.0,2.3,-0.2622,-0.0687,-7.4,1.1,-0.0469,-0.001,0.5837,-0.0608,1.3,-0.1453,0.0973,0.2753,0.0183,0.0231,0.1249,0.0642,0.035,0.6004,0.1111,0.3391,-0.5955,-0.136,0.0483,-0.1013,0.4326,-0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,4970.0,5100.0,4880.0,5000.0,6847200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,5125.0,5200.0,4970.0,5025.0,13162500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,4980.0,5300.0,4950.0,5175.0,15177900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,5025.0,5275.0,4970.0,4980.0,17145900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,4970.0,5125.0,4900.0,5000.0,6925100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
