Date,Close,High,Low,Open,Volume,OD,QA,CP,DH,PD,DR,CC,YP,XL,NI,EP,YB,HP,MG,RO,XC,SQ,YJ,KI,KK,DX,TP,LG,GR,YU,AZ,SF,BQ,AT
2026-07-13,38.0,39.0,37.0,39.0,2277600,-0.0016,0.0387,-0.0282,0.0,0.0006,0.0016,0.002,-0.0036,-0.0052,-0.0001,-0.0043,0.0,0.0,-0.0095,0.0001,0.0091,-0.0,-0.0008,0.0,0.0012,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,-0.0002
2026-07-14,38.0,38.0,36.0,38.0,1007600,-0.0001,0.0,-0.0045,0.0037,-0.0003,0.0,0.0033,-0.0,0.0149,-0.0,0.0,0.0,0.0,-0.0027,0.0,-0.008,0.0,0.0004,0.0,0.0,0.0019,0.0,0.0,0.0,0.0,0.0,-0.009,0.0005,0.0
2026-07-15,38.0,39.0,37.0,37.0,2484300,-0.0,-0.0019,0.0,0.0111,0.0089,0.0,-0.0315,0.0064,0.0108,-0.0016,-0.0015,0.0,0.0,0.0079,-0.0001,0.0191,-0.0001,0.0,0.0009,-0.0008,0.0,0.0,0.0,-0.001,-0.0247,-0.0019,0.0,0.0,0.0
2026-07-16,37.0,38.0,36.0,38.0,2267500,-0.0,0.0,-0.0004,-0.0044,0.0004,0.0017,0.0055,0.003,0.0475,-0.0043,0.0,0.0,0.0,0.0007,0.0,-0.0531,0.0,0.0018,-0.0,0.0014,0.0,-0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,38.0,39.0,36.0,39.0,1044900,-0.0001,-0.0,0.0004,-0.007,0.0006,0.0023,0.0015,0.0001,-0.0006,-0.0019,-0.0,0.0056,0.0,-0.0066,-0.0,0.0058,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,38.0,38.0,36.0,38.0,2562000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,40.0,40.0,37.0,38.0,7791600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,39.0,40.0,38.0,40.0,2905900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,39.0,40.0,38.0,40.0,1501600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,38.0,39.0,37.0,38.0,1903800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
