Date,Close,High,Low,Open,Volume,CP,GR,XL,DR,YP,PD,CC,EP,KI,XA,KK,BK,AT,DX,AI,XC,LS,TP,SQ,OD,QA,BQ,AK,NI,MU,AZ,YB,ZP,HP,HD,TF,RO,DH,MG,CD,AG,LG,IF,YJ,AO,SH,SF,FZ,YU,RB
2026-07-13,214.0,236.0,206.0,230.0,41254500,0.0228,0.0097,0.0646,-0.0045,-0.0786,-0.0847,0.3594,0.02,-0.0139,0.0028,0.0311,0.0006,0.0427,-0.0,0.009,-0.1495,0.0,0.0152,0.0077,-0.06,0.0018,-0.0093,-0.074,-0.029,0.0,-0.0045,-0.0043,0.0065,-0.0194,-0.0008,0.0,-0.0004,-0.0311,-0.0001,0.0001,-0.022,-0.0008,0.0032,-0.0008,0.0002,-0.0026,-0.0003,0.0005,-0.007,0.0
2026-07-14,226.0,230.0,216.0,226.0,22365400,0.1232,0.0459,0.3459,0.0073,0.0,0.062,-0.0142,-0.0185,-0.0562,-0.003,-0.033,-0.0022,-0.0042,0.0057,-0.0462,-0.1246,0.0,-0.0865,-0.0074,-0.1794,-0.0005,-0.007,-0.0335,-0.1187,-0.0001,-0.0305,-0.0319,-0.0135,0.0221,-0.0009,0.0,0.0,0.1002,0.1707,0.0,-0.0661,-0.0024,-0.0012,-0.0011,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,216.0,226.0,214.0,226.0,11439600,0.008,-0.0171,-0.1875,-0.0615,0.0285,0.0625,-0.2238,-0.0015,0.0004,-0.0068,0.0773,0.0,0.0162,0.0,0.0648,0.0234,0.0,0.0287,-0.0055,0.1868,-0.0,0.0082,0.1667,-0.0163,0.0014,-0.0103,0.001,-0.0058,0.0115,-0.0,0.0,0.0013,-0.0038,-0.1479,0.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,214.0,218.0,208.0,216.0,7660800,-0.0178,0.0055,-0.1709,0.0706,0.1082,0.0347,-0.1617,0.0031,0.0012,-0.0087,-0.0126,0.0021,0.0243,-0.0053,0.063,-0.008,0.0,-0.0206,0.0017,0.0527,-0.0003,0.1117,-0.0849,0.0179,0.0,0.0004,-0.0034,-0.0078,-0.0096,-0.0001,0.0,-0.0011,0.0126,0.0002,-0.0001,-0.0015,0.0044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,214.0,214.0,206.0,214.0,6515600,-0.0229,0.0033,0.225,0.011,0.0743,-0.003,-0.2244,0.0167,0.0013,-0.0066,-0.0693,-0.0017,0.0,-400.0,-0.0001,0.0093,0.0,0.0019,-0.034,0.0025,0.001,0.0947,0.0322,-0.2054,-0.0014,0.0003,0.0613,-0.0011,-0.021,-0.0001,-800.0,0.0,-0.0043,0.0604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,216.0,224.0,212.0,224.0,14575300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,214.0,222.0,212.0,218.0,7594000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,218.0,220.0,212.0,216.0,7425100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,238.0,238.0,222.0,228.0,58450300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,250.0,280.0,246.0,246.0,134714200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
