Date,Close,High,Low,Open,Volume,DH,AK,QA,EP,MG,XA,OD,SF,GR,SS,CP,BB,ZR,HD,CC,IN,YP,RG,MI,AG,KZ,AT,PD,IF,XL,PF,TP,AO,LG,YB,KI,YJ,ID,RX,DX,ZP,BK,AI,YU,DR,LS,ES,RO,SQ,NI,AZ,XC,BQ,KK,PC,AD,FZ,SA,PP,BR,DU,RB,PO,PG,AF,CD,HP,DP,BS,IT,AR,FS,MU,RF,SH,EL,RS,IU,GI,OK,BF
2026-07-13,2920.0,2920.0,2830.0,2900.0,56479200,0.195,-6.3,0.0189,0.4497,-2.5,1.4,0.4765,0.0,0.4427,0.0,0.8892,-6.8,-0.57,0.0993,3.0,0.0,3.0,0.0,0.0,-8.6,0.0,0.0341,-1.6,-0.1041,2.8,0.0,-6.5,0.0624,6.4,3.0,0.305,0.1669,0.0286,0.829,-5.2,-27.5,46.9,-1.4,-1.7,0.6861,-0.1509,-0.0879,0.0,-1.9,0.3168,-2.6,1.6,0.5312,0.1616,0.0,0.0,0.0,0.0,0.0,-0.0003,0.0,0.0,0.0,0.0,0.0,-0.0,-0.3037,0.0,0.0,-0.0725,-0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,2920.0,2950.0,2850.0,2880.0,101305400,-0.1775,19.5,0.0,0.1283,-0.6807,-0.9135,8.8,0.0,-0.1084,0.0,1.9,1.4,-0.0612,2.5,-16.8,0.0292,1.1,0.0145,1.2,0.6464,0.0,0.0743,4.9,-1.5,2.7,0.0,-2.6,0.3962,-23.6,-2.3,-0.035,-0.1902,0.0,2.8,41.8,-9.5,7.2,-4.7,-12.3,-10.7,0.0196,-0.1761,0.1239,-0.4844,0.6161,-5.8,-4.7,0.8124,1.1,0.0873,0.0,0.0,0.584,0.0,0.0,0.0,0.0,-0.293,-0.5867,0.0,0.0,-1.7,0.0,-0.0522,-0.176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,3040.0,3090.0,2960.0,2970.0,154583300,1.5,33.6,0.0,2.6,1.1,0.0,-5.8,0.0091,0.0,8.5,-2.2,-20.9,0.0,-2.7,138.6,0.3889,-19.7,0.0,-1.2,-1.6,-5.1,0.0,0.0,-1.0,-38.3,0.0,0.0,0.0,-5.7,1.0,0.8648,-0.8422,0.0,0.0,-2.7,-13.4,3.2,0.0,-21.4,-3.7,-1.8,0.1015,0.0137,-11.7,-2.0,0.4629,-5.9,-9.4,-4.0,0.0,0.0,0.0107,0.0,0.0,0.0,0.0,0.0,0.0384,-0.7848,0.01,-1.8,-3.9,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,3080.0,3090.0,3040.0,3070.0,91739100,-0.6247,17.5,0.0,-15.0,1.1,-0.1535,-38.8,0.0064,0.0767,-0.3386,0.9512,1.4,0.306,0.3822,109.8,0.3067,-2.5,0.0,0.0,0.4213,0.014,0.0398,-3.0,1.1,-14.3,0.0,-1.9,0.3292,-4.7,0.0,-0.2307,-0.1633,0.0,0.0,0.0,-24.9,-26.6,-2.1,0.3164,0.8465,-0.4432,0.3194,0.1905,-0.3653,8.8,-3.5,-2.5,-0.6421,0.0,-0.4023,0.0001,0.0046,0.304,0.2165,-0.1844,0.0003,-0.1533,-0.616,-0.1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,3070.0,3070.0,3000.0,3000.0,80284500,0.2991,0.7336,0.0541,-9.1,-1.0,0.1046,16.5,0.0072,-2.2,-0.612,-0.0991,28.7,-0.004,-0.2119,-20.3,-0.303,-3.3,0.0006,0.0061,-0.0487,-0.3736,0.0564,-2.6,-0.522,7.8,0.0031,-1.0,-1.0,-2.2,0.236,1.7,0.0493,0.0306,-8.4,36.5,-9.6,-25.5,-4.5,0.3389,-3.3,-0.4825,0.0171,0.2403,0.2734,1.6,-1.8,2.2,-0.7612,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,3000.0,3070.0,2990.0,3050.0,109006600,2.6,-4.2,0.0,0.4544,0.0,2.1,6.9,0.0,0.0,0.0,2.2,-15.2,0.5192,-0.0024,-9.8,0.0,14.6,0.0,0.0,-3.0,0.0,0.3102,-6.5,-1.7,44.3,0.0,-2.9,0.0,-18.7,0.9307,0.3728,-0.433,0.0,0.0,50.2,-62.8,-5.5,-12.4,-27.1,2.7,0.7796,0.0,0.3801,22.4,3.5,-19.7,18.5,2.3,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.598,0.1295,0.0,0.0,13.7,0.0,0.0,0.0,0.0,0.0,0.0,-4.2,0.0,0.0,0.0,0.1522,0.0,-0.0912,0.3
2026-07-21,3060.0,3100.0,3010.0,3020.0,134948200,-2.8,31.8,0.0,1.1,9.9,-1.0,-0.2088,0.0,3.3,-9.1,2.2,-36.7,-0.7568,1.1,-21.3,0.634,-5.6,0.0,0.0,0.1107,0.0,-0.1644,-22.7,-2.7,-11.6,0.0,0.0,0.431,10.0,-0.4469,1.9,1.4,0.0,0.0,56.1,-12.9,2.2,0.356,25.6,3.3,-0.1621,0.2905,0.0,-12.1,-10.3,5.9,-5.2,-0.2631,-1.1,0.0,0.0,0.99,0.0,0.0,1.5,0.6074,0.0,-0.608,0.0,0.0,0.0552,-2.3,0.0,0.0,-0.2912,0.0603,-0.31,0.0,0.0,0.0,0.0,0.0,-0.1236,0.0608,0.0,0.0
2026-07-22,3120.0,3190.0,3090.0,3110.0,164522700,-0.742,5.7,0.0,-0.8584,-9.1,1.5,2.5,0.0,0.4623,0.0,-6.4,-12.4,0.6247,-0.4046,-17.0,-0.6137,0.9858,0.0,0.0,2.5,-6.4,0.0,-0.6735,-0.4108,-18.0,0.0,-1.7,-0.5208,-0.7001,1.5,1.5,-1.8,0.0,0.0,76.9,31.4,-25.4,-2.4,0.4642,-3.3,0.6006,0.0544,0.0,6.0,9.6,-11.5,-2.6,-1.5,-2.9,0.0,0.0001,0.0,0.0,0.0,-1.4,0.0,0.0,0.0,0.0526,0.0,0.0,-13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0218,0.0,0.0,0.0,0.0
2026-07-23,3080.0,3160.0,3050.0,3130.0,133197300,0.9178,-22.7,0.0,-6.0,3.3,-2.5,-5.2,-0.0038,8.4,2.2,10.0,-2.2,0.0,-0.375,3.6,0.0,7.0,1.6,0.0,0.7556,4.3,0.202,9.3,-13.6,-4.2,-0.0031,-0.6767,-0.2746,-8.0,-0.3827,-7.5,1.7,0.0,0.0,2.5,31.6,-19.6,17.0,-14.9,3.7,0.0,-0.0009,0.0,5.7,-1.8,-23.8,7.8,2.2,7.1,0.0,0.0,0.0,0.0,0.0,-0.165,0.4641,0.0,0.0,0.0,0.0,0.1206,-0.0393,0.0,0.0,0.0,0.0,2.0,0.0,-0.0032,-0.189,0.307,0.0,0.0,0.0,0.0,0.0
2026-07-24,2990.0,3040.0,2960.0,3030.0,75686900,1.2,7.1,0.0,0.2368,0.3254,0.6639,4.4,0.0,1.6,0.0,-3.6,2.2,0.0,0.4194,-2.5,-0.1043,1.9,0.0,0.0,-0.217,-0.5697,-0.0326,-31.9,0.5164,8.6,0.0,0.255,0.3196,0.0,-1.1,0.1411,0.0,0.0,-3.9,25.2,-7.0,26.4,-0.1399,0.1599,0.0,0.3491,0.3073,0.0,-5.7,-0.253,0.7074,1.9,2.0,-6.8,0.0,0.0,0.0,0.0,0.0,-0.0002,0.0,0.0,-0.0387,0.0,-25.4,0.5167,-0.3099,0.0,0.0,0.0,0.0,1.5,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
