Date,Close,High,Low,Open,Volume,RF,NI,RO,XA,CC,PD,BQ,XL,KI,SQ,YP,XC,KK,AO,DX,AT,EP,YU,OD,AZ,GR,LG,DH
2026-07-13,168.0,170.0,168.0,170.0,60600,0.0,0.0001,0.0,0.0,0.001,0.0001,0.0,0.0018,0.0,0.0,0.004,0.0007,0.0,0.0,0.0,0.0,-0.0004,0.0,-0.0,0.0,0.0,-0.0076,0.0002
2026-07-14,169.0,170.0,167.0,169.0,118900,0.0017,0.0045,0.0,0.0,-700.0,-0.0007,0.0,0.0006,0.0,0.0,0.002,0.0018,0.0001,0.0,0.0,0.0,0.0,0.001,0.0,-0.0,0.0,-0.0111,0.0
2026-07-15,170.0,170.0,168.0,169.0,90500,0.0063,0.0003,0.0,0.0,0.0001,-0.0005,0.0,0.0028,0.0,0.0004,-0.0034,-0.0033,-0.0,0.0022,0.0,0.0,-0.0053,0.0002,0.0,0.0,0.0,0.0,0.0
2026-07-16,168.0,170.0,167.0,170.0,177500,0.0051,0.0004,0.0,0.0013,0.0005,0.0005,0.0,0.0022,0.0,0.0,0.0076,0.0004,0.0059,0.0014,0.0,0.0,-0.0252,0.0001,0.0,0.0,0.0,0.0,0.0
2026-07-17,170.0,170.0,167.0,168.0,195200,0.0109,0.0037,0.0,0.0,0.0002,-0.0002,-0.0257,0.0012,0.0003,0.0006,0.0051,0.0008,0.0009,0.0027,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,169.0,171.0,168.0,170.0,227300,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,169.0,170.0,169.0,170.0,38400,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,169.0,170.0,168.0,169.0,56400,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,171.0,171.0,168.0,169.0,530600,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,170.0,172.0,168.0,171.0,335400,,,,,,,,,,,,,,,,,,,,,,,
