Date,Close,High,Low,Open,Volume,CD,CP,GR,XL,CC,YP,IF,AO,KK,FS,DX,SH,XC,FZ,AZ,IU,HP,BK,RF,MG,YJ,PD,DR,XA,EP,MI,AI,SQ,TP,OD,BQ,AK,NI,YU,ZP,LG,HD,ID,RO,DH,AR,RG,OK,AT,LS,PC,KI,AG,QA,PG,YB,RB,GA,JB,SS,DU,BR,SF,DP,TF,ES,SA
2026-07-13,3960.0,3960.0,3860.0,3880.0,18087400,-0.4866,2.3,-1.2,-0.3489,2.9,-0.0441,-0.692,0.0527,-0.1674,0.0798,0.0,0.396,0.2784,0.0574,0.2246,0.0,-2.4,1.0,2.0,-1.1,-0.2055,-3.3,-0.2112,-1.3,0.2443,-0.4089,-0.1614,-1.7,1.3,-0.7837,0.1137,6.7,-0.0386,0.4185,-0.1534,-0.0743,0.0299,0.0,0.0126,-0.2036,0.0,0.0,-0.0788,0.2786,-0.099,0.0,0.0,-0.0299,0.0,0.0097,0.1385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3,0.0,-0.0995,0.0
2026-07-14,3950.0,4070.0,3930.0,3980.0,40515600,0.0796,-1.7,12.3,-5.1,-6.9,-0.0815,-0.0844,0.2125,0.735,-0.1564,0.282,0.797,-1.2,-0.0563,0.4121,0.012,-0.0448,0.6977,-2.0,-0.1058,0.2616,9.2,-8.2,0.9117,0.312,0.0,0.1309,0.2946,-0.6416,1.3,0.7585,-6.1,-0.508,1.6,1.2,3.6,-0.0469,0.0504,0.0,-0.4167,0.0,0.0,0.0,-0.0516,0.1337,0.0,0.0,-0.4404,0.0,0.0,-0.0931,-0.0796,0.0,0.0,0.0081,0.0,-0.0356,0.0158,-1.2,0.0301,-0.0199,-0.0407
2026-07-15,3970.0,4010.0,3950.0,3990.0,13210800,0.353,0.0133,-0.038,-2.5,5.7,-2.3,0.0977,0.1476,-0.2652,0.1499,0.0396,-1.2,-0.6626,-0.0399,-0.3338,0.0199,-0.5543,1.4,0.0,-0.1701,-0.1905,-6.7,-0.7179,1.9,0.2957,0.0,-0.2133,1.5,-0.6573,5.0,-0.2532,-0.3137,-0.2644,1.0,-1.9,-0.4322,-0.0095,0.0,0.028,0.5162,0.0,0.049,0.0,-0.012,0.0,0.2226,0.0059,0.6366,0.0,0.0,0.418,-0.0794,0.0,-0.002,0.008,-0.004,0.2389,0.0,0.0,0.0,0.0,0.0
2026-07-16,4080.0,4170.0,3940.0,4000.0,34692900,-0.1652,5.5,-6.5,-6.6,14.4,-2.2,-0.2044,-0.0478,0.0703,0.0644,-0.085,0.8431,-2.2,0.0379,0.7795,-0.1009,-0.3422,2.8,0.0,0.2714,-0.0424,-0.1363,0.0,-0.6454,2.9,0.4031,0.0814,-5.8,-2.2,0.8572,0.0782,14.2,-1.8,0.6809,1.5,-16.7,0.0,0.0,-0.0571,1.3,0.0,0.0783,-0.1235,-0.1837,-0.109,-0.2422,-0.1571,-0.7157,0.0047,0.0043,0.6179,0.0,-0.1184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,4070.0,4140.0,4050.0,4110.0,20742300,1.7,0.4148,-0.1094,4.4,-13.4,2.4,-0.1023,0.6744,-0.0591,-0.1363,0.0765,-0.0183,3.1,0.701,-0.4763,0.0771,-1.0,-2.5,0.3663,0.3096,-0.1344,4.8,0.5871,0.1346,2.5,-0.4071,0.7283,0.4708,0.3724,0.3978,0.0943,-6.8,0.6281,0.1598,0.5751,-1.0,-0.01,-0.0611,0.3074,0.0906,-0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,4120.0,4150.0,4070.0,4080.0,20205700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,4470.0,4470.0,4100.0,4140.0,74662400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,4690.0,4900.0,4480.0,4500.0,121500700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,4910.0,5200.0,4680.0,4690.0,158682200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,4660.0,5000.0,4640.0,4820.0,86906200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
