Date,Close,High,Low,Open,Volume,NI,HD,XA,OD,ID,YB,QA,DR,SQ,YP,XC,LG,KK,XL,YJ,SA,AI,DH,IF,AZ,MG,PC,MI,MU,CP,RO,GI,YU,ZR,AK,ZP,EP,TP,PD,BQ,GR,CC,AO,PG,EL,IN,DU,AT,AG,FZ,SH,FS,LS,BK,KI,HP,PF,AF,RB,IU,DX,IH
2026-07-13,222.0,228.0,218.0,218.0,21073600,0.2238,0.0,0.0137,0.0133,-0.025,0.0007,-0.0001,-0.0201,-0.1573,0.261,0.0613,-0.0013,-0.1086,-0.2132,-0.552,-0.001,0.0285,-0.0018,0.0,-0.0497,0.0606,0.0,0.0,0.0,0.1106,-0.0028,0.0,-0.0456,-0.077,0.1576,-0.0179,-0.0107,0.0189,-0.1672,0.029,-0.067,0.6881,0.0086,0.0,0.0,0.0,-0.1188,-0.0054,0.0003,0.0,-0.0022,0.0,0.0,0.0548,-0.0395,-0.0021,0.0,0.0,0.0,0.0,0.0,-0.0444
2026-07-14,224.0,246.0,220.0,224.0,104444200,-0.1645,0.0559,-0.0313,0.1248,-0.155,-0.1827,0.0,0.007,0.2247,-0.0788,-0.0044,0.0102,0.0779,1.1,0.0,-0.3091,0.0094,0.0,0.0213,0.4799,-0.3008,-0.0533,-0.318,-0.0464,0.6162,0.0027,0.0,0.0286,-0.0395,-0.6676,-0.0547,-0.3466,0.1853,-0.0382,-0.1374,0.0166,-0.2518,0.0979,0.0234,0.1918,0.0,-0.1857,0.0237,0.0012,0.0,0.1161,0.0,-0.0625,-0.0765,0.0281,-0.0118,0.0053,0.0998,-0.0002,-0.0,0.0007,0.0
2026-07-15,226.0,232.0,220.0,224.0,28322200,0.0087,-0.0023,0.0409,-0.0158,-0.0496,0.1231,-0.0014,-0.0037,0.2242,-0.1879,-0.0723,-0.011,0.0069,0.1022,0.0,-0.1094,0.0135,-0.0027,0.0,-0.1184,0.0716,-0.0983,0.0677,0.0,-0.2564,0.0234,0.0,0.0568,-0.0785,0.1163,0.0274,-0.0655,0.1024,-0.0609,0.0082,0.0291,0.2927,-0.0545,0.0,0.2455,0.0,0.0,-0.0101,-0.0226,0.0,-0.1435,0.0051,-0.2086,0.0,0.0075,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,224.0,232.0,222.0,226.0,22860100,-0.0371,-0.0551,0.0395,0.0864,0.0,-0.0774,200.0,0.0105,-0.2595,-0.0905,0.012,-0.0018,-0.0069,0.6052,0.0,-0.0351,0.0067,0.009,0.0001,0.0476,-0.0875,0.228,-0.0342,0.0,0.6501,-0.0258,0.0,0.0491,0.0,0.11,-0.0041,0.0002,0.0022,-0.4212,-1.1,0.0178,0.2134,-0.0667,-0.0011,0.2958,0.114,-0.2245,-0.0145,0.0007,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,226.0,232.0,222.0,226.0,17799400,0.6238,-0.1679,0.0337,0.0719,-0.1543,-0.0922,0.0055,0.0027,0.0112,0.1105,-0.0586,0.0036,-0.0126,-0.0836,0.1354,-0.0339,-0.0001,0.0337,0.0001,-0.3576,-0.1269,-0.0018,-0.1348,0.0002,0.105,-0.0075,-0.0,-0.0117,-0.0228,-0.2154,-0.0034,-0.0592,-0.0046,-0.0576,-0.0257,0.0577,0.4601,-0.0228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,230.0,236.0,226.0,228.0,26354600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,246.0,252.0,228.0,232.0,71664500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,246.0,260.0,238.0,246.0,54599900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,306.0,306.0,246.0,246.0,226494800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,302.0,316.0,280.0,310.0,168459000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
