Date,Close,High,Low,Open,Volume,XC,MG,SQ,QA,KK,OD,EP,XL,YP,DH,CC,PD,DR,LG,AZ,CP,AT,NI,BQ,XA,LS,YB,GR,YJ,KI,BR,RO,DX,GI
2026-07-13,29.0,30.0,29.0,30.0,3901900,0.0026,0.0058,0.0,0.0,0.0,0.015,-0.0399,0.0455,-0.0445,-0.0012,0.0065,0.0004,0.0094,0.0002,-0.0036,0.0029,0.0,0.0004,0.0,-0.0019,0.0,0.0,0.002,0.0,0.0003,0.0,-0.0,0.0,-0.0
2026-07-14,30.0,30.0,29.0,29.0,3539000,0.0015,0.0,0.0018,0.0,0.0027,-0.0015,-0.0327,0.0137,-0.0027,0.0,0.0172,0.0013,0.0079,0.0,-0.009,-0.0003,0.0,0.0001,0.0001,0.0,0.0,-0.0002,0.0001,0.0001,-0.0,0.0001,0.0,0.0,0.0
2026-07-15,29.0,29.0,29.0,29.0,7160500,0.008,0.0038,-0.0058,0.0,0.0029,0.001,-0.0428,0.0406,-0.018,-0.0001,0.056,-0.0249,0.0289,0.0029,-0.087,0.0,0.0145,0.0125,0.0,0.0,0.0058,-0.0002,0.002,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,31.0,31.0,30.0,30.0,12698700,-0.0009,-0.0133,0.0,0.0,-0.0081,-0.0007,0.1865,-0.1433,0.0108,-0.0019,-0.0097,-0.0072,-0.0004,-0.0037,0.0033,0.0016,0.0023,-0.0154,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,32.0,32.0,32.0,32.0,2473000,0.0012,-0.0016,-0.0096,-0.0001,0.0006,-0.001,0.0026,-0.0091,0.0115,0.0008,0.0034,0.0024,-0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,32.0,33.0,31.0,33.0,1585000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,32.0,32.0,31.0,32.0,3623500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,32.0,32.0,32.0,32.0,5148500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,32.0,33.0,32.0,32.0,2241200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,33.0,33.0,32.0,32.0,1495500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
