Date,Close,High,Low,Open,Volume,XC,ES,AI,XL,MI,NI,CC,YP
2026-07-13,3390.0,3390.0,3250.0,3250.0,11000,0.0,-0.0254,0.0125,-0.0016,0.0125,0.0,0.0,0.002
2026-07-14,3390.0,3390.0,3380.0,3380.0,9000,0.0,0.0305,-0.0085,0.0,-0.022,0.0,0.0,0.0
2026-07-15,3390.0,3390.0,3380.0,3380.0,9700,0.0,0.0,-0.0196,-0.0017,0.022,0.0,-0.0007,0.0
2026-07-16,3390.0,3390.0,3380.0,3380.0,10800,0.0,-0.0017,0.0314,0.0,-0.0297,0.0,0.0,0.0
2026-07-17,3390.0,3390.0,3390.0,3390.0,8800,-0.0007,-0.0068,-0.0159,0.001,0.0288,-0.0034,-0.0031,0.0
2026-07-20,3390.0,3390.0,3380.0,3380.0,10700,,,,,,,,
2026-07-21,3390.0,3390.0,3380.0,3380.0,9500,,,,,,,,
2026-07-22,3390.0,3390.0,3380.0,3380.0,11300,,,,,,,,
2026-07-23,3390.0,3390.0,3390.0,3390.0,10500,,,,,,,,
2026-07-24,3390.0,3390.0,3380.0,3390.0,9200,,,,,,,,
