Date,Close,High,Low,Open,Volume,XC,QA,YU,SQ,LG,AZ,KK,CP,ZP,AT,OD,EP,AI,AK,YP,DH,XL,CC,SF,TP,YB,NI,BQ,IF,AO,GR,PD,RO,DR,KI,DX,BK,TS,XA,TF,AG,MG
2026-07-13,1850.0,1910.0,1810.0,1875.0,2013800,0.205,-0.0007,0.0075,0.1333,0.0,-0.0093,-0.2085,-0.0041,0.0053,0.0056,0.0285,0.0002,0.0,0.0155,0.253,0.0009,-1.3,0.6036,0.0,0.0017,0.0008,0.2341,0.1022,-0.0002,0.0074,0.0133,-0.0677,-0.0047,-0.0298,0.0002,0.0,0.0048,0.0,0.0,0.0,0.002,-0.0061
2026-07-14,1860.0,1905.0,1850.0,1875.0,966700,-0.1408,0.0,-0.0129,0.0254,0.0,0.0024,0.0539,0.0562,-0.008,-0.0166,0.0151,0.0021,0.0048,-0.0429,-0.0262,0.0054,-0.3058,0.5842,0.0,0.0013,0.0087,-0.1923,-0.1072,-0.0022,-0.0,0.0586,0.0402,0.0004,0.0,0.0002,0.0,-0.0046,0.0,0.0017,0.0,-0.0015,0.0006
2026-07-15,1865.0,1880.0,1860.0,1860.0,505500,-0.037,0.0,0.0298,-0.1762,0.0,0.0028,-0.0582,-0.0171,0.0009,0.0,-0.0037,-0.0078,0.0,0.0103,0.0035,-0.0002,-0.258,0.4929,0.0019,0.0,-0.0276,0.0354,0.0,-0.0028,0.0,0.0095,0.0056,-0.0045,0.0,0.0,0.0,0.0041,0.0,-0.0032,-0.0006,0.0,0.0
2026-07-16,1865.0,1885.0,1835.0,1865.0,737200,-0.0373,0.0,0.0093,-0.0669,0.0,0.012,-0.0056,-0.0261,0.0009,-0.002,0.0013,0.0073,0.0,0.0056,-0.0159,-0.013,0.074,0.1523,0.0,-0.0002,0.0203,0.0346,-0.0122,0.0004,-0.0019,-0.1981,0.0055,0.0054,0.0009,-0.0002,0.0037,-0.0041,0.05,0.0,0.0,0.0,0.0
2026-07-17,1845.0,1885.0,1835.0,1870.0,631400,0.0549,0.0002,0.0002,-0.0918,0.0028,-0.0057,-0.0199,0.0185,0.026,0.0011,0.0203,0.0026,0.0009,-0.0063,0.0629,0.0015,-0.0151,-0.0142,0.0018,0.0011,-0.005,0.2769,0.0024,-0.0006,0.0018,-0.2913,-0.0326,0.0017,0.0046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1855.0,1880.0,1850.0,1855.0,786400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,1950.0,1970.0,1865.0,1870.0,3439000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,1940.0,1980.0,1905.0,1975.0,1457500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,1960.0,1980.0,1920.0,1940.0,2852100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,1905.0,1960.0,1870.0,1960.0,956200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
