Date,Close,High,Low,Open,Volume,XC,SQ,QA,MI,KK,CP,PC,ZP,ZR,OD,AG,XL,YP,SH,CC,MG,ID,SF,TP,NI,BQ,AO,BR,PD,DR,AZ,AT,DH,FZ,GI,BF,MU,EP,YB,DU,SA,RO,YU
2026-07-13,86.0,88.0,83.0,86.0,923800,0.001,0.0,-0.0003,0.0,0.0,0.0196,0.0,0.0018,0.0,0.0,0.0,-0.0336,0.0044,0.0,0.0025,-0.0,0.0,0.0,0.0,0.0001,0.0,0.0,-0.0022,-0.0001,0.0022,0.0,-0.0,0.0002,0.0,-0.0,0.0,0.0,0.0045,0.0001,0.0,0.0,-0.0,0.0
2026-07-14,84.0,90.0,83.0,85.0,1543600,0.0009,0.0011,0.001,0.0,0.0002,-0.0117,0.0,0.0106,0.0,0.0003,0.0,-0.0174,-0.0039,0.0004,0.0096,0.0032,0.0,0.0,0.0,0.0086,-0.0018,0.0,-0.004,0.001,-0.0,0.0,-0.0004,0.0009,0.0,0.0,0.0,0.0,0.0,0.0014,0.0,0.0,0.0,-0.0
2026-07-15,86.0,91.0,84.0,85.0,10165700,0.0146,0.0012,-0.0009,-0.013,0.0365,-0.0534,-0.0237,0.0017,-0.0106,-0.0001,0.0001,0.2557,-0.0449,-0.0535,-0.0145,-0.0352,0.0,-0.0071,0.0,0.0053,0.001,-0.0071,-0.0183,-0.0003,0.0029,0.0,0.0,-0.0011,0.0016,0.0,0.0,0.0177,-0.0028,-0.0152,-0.0034,-0.0332,-0.0,0.0
2026-07-16,84.0,88.0,83.0,88.0,2749200,0.0032,0.0,-0.0002,0.0,0.0016,0.0051,0.0062,0.0084,0.0017,-0.0085,0.0,-0.0917,0.0036,0.0915,0.0077,-0.0047,0.0,0.0,0.0,0.0028,0.0006,0.0,0.0017,-0.0006,0.0008,-0.0,0.0007,-0.0128,-0.0,-0.0001,-0.0003,-0.0168,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,82.0,86.0,82.0,85.0,3913600,0.0054,0.003,0.0,0.0149,-0.0042,0.0132,0.0107,0.0167,0.0095,-0.0415,-0.0001,0.0211,0.0503,-0.1896,0.0057,0.0004,0.0182,0.0042,0.0,0.0017,-0.0008,0.0042,0.0095,0.0478,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,81.0,83.0,79.0,82.0,2289900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,80.0,81.0,79.0,80.0,1979900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,79.0,81.0,77.0,80.0,1376700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,81.0,81.0,78.0,80.0,2005400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,79.0,81.0,76.0,80.0,3459700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
