Date,Close,High,Low,Open,Volume,HD,XL,PD,YU,EP,XC,SQ,LS,DH,AZ,NI,LG,KI,AG,QA,GR,YB,AT,YP,AK,CC,OD,KK,DR,CP,BQ,TP,RB,CD,RO,XA,BS,IF,DX
2026-07-13,630.0,635.0,620.0,625.0,945600,0.0011,0.1055,-0.0498,-0.0062,0.0146,0.0102,0.0129,0.0,-0.0995,0.0003,0.0634,0.0,0.0,0.0,0.0019,0.0072,-0.0013,0.0,0.0971,-0.0367,-0.0978,-0.0496,-0.0008,0.0,0.0322,0.002,0.0,0.0,0.0013,0.0001,0.0,0.0,-0.0019,-0.0063
2026-07-14,635.0,640.0,630.0,630.0,1121200,0.0002,-0.0368,-0.0985,-0.1416,0.0001,0.0095,0.0868,0.0,0.0971,0.009,0.0613,0.0,0.0,0.0,0.0013,-0.0047,-0.0005,0.0,0.0422,0.0099,-0.1912,0.003,0.019,0.0,0.0095,-0.002,0.0147,0.0,0.0038,0.0,0.0,0.0445,0.0635,0.0
2026-07-15,635.0,640.0,630.0,635.0,534800,0.0019,-0.0456,0.0526,0.0635,0.0008,0.0001,0.0119,0.0,0.011,0.0,0.002,0.0,0.0001,0.0,0.0001,-0.0005,0.0039,0.0006,0.0346,-0.0232,-0.0052,-0.114,0.0004,0.0001,0.0001,0.0,0.0013,-0.0016,0.0051,0.0001,0.0001,0.0,0.0,0.0
2026-07-16,640.0,645.0,630.0,635.0,715700,-0.0023,0.0561,-0.0778,0.0032,-0.0325,-0.0185,0.0165,0.0,0.1295,0.0,-0.0314,0.0064,0.0033,0.0001,0.0,-0.0046,-0.0099,0.0,0.0003,-0.0284,-0.065,0.0633,-0.0009,0.0,0.0005,0.0036,-0.0115,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,645.0,650.0,635.0,640.0,723500,-0.0006,0.1111,0.02,0.0048,-0.0317,-0.014,-0.0118,-0.0306,0.0344,-0.032,-0.016,0.0001,0.0005,-0.0001,0.0023,0.1149,0.0062,-0.0019,0.0425,-0.0291,-0.1775,0.0033,0.0066,-0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,645.0,650.0,640.0,640.0,911100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,645.0,650.0,635.0,650.0,1744600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,645.0,650.0,640.0,645.0,1121500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,650.0,665.0,645.0,645.0,2444200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,645.0,655.0,645.0,645.0,1511600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
