Date,Close,High,Low,Open,Volume,XC,YU,SQ,RO,LG,YJ,CP,ZP,EP,XL,YP,DH,CC,MG,SF,TP,YB,NI,BQ,GR,FS,HD,PD,DP,XA,KK,OD,AG,AK,DX,SA,AZ
2026-07-13,505.0,515.0,500.0,515.0,194000,-0.0024,0.0083,0.0,0.0,-0.0001,0.0015,0.0412,0.0017,-0.0005,0.0227,0.0025,0.0,0.0021,0.0,0.0,0.0005,0.0,0.0003,0.0,0.0025,0.002,0.0001,-0.083,0.0,0.0,0.0005,-0.0001,0.0,0.0,0.0,0.0,0.0002
2026-07-14,505.0,530.0,505.0,505.0,70800,0.0011,0.0039,0.0,0.0,0.0014,0.0,0.0004,0.0,0.0001,-0.0139,0.0124,0.0,-0.0005,-0.0001,0.0,0.0,0.0,0.0062,0.0,0.0,0.0,-0.0002,-0.016,0.0,0.0001,-0.0003,0.0054,0.0,-0.0001,0.0,0.0,0.0
2026-07-15,510.0,540.0,500.0,505.0,832000,-0.0046,0.0208,0.0001,0.0001,0.0,0.0004,0.0,-0.0052,0.0,0.0035,-0.3256,0.0,-0.0025,-0.0024,0.0,-0.0006,0.0,0.0002,-0.0015,0.0102,-0.0005,0.0001,-0.0068,-0.0184,0.0,0.0,0.332,0.0,-0.0003,-0.0006,0.0,0.0018
2026-07-16,510.0,530.0,500.0,510.0,276700,-0.0002,0.0105,0.0,0.0,0.0,0.0,-0.0229,-0.0003,-0.0026,-0.0045,-0.0118,0.0,-0.0043,-0.0248,0.0172,0.0,0.0,0.001,0.0,0.0003,0.0,0.0001,-0.0285,-0.0001,0.0052,0.0204,0.0522,0.0105,-0.0003,-0.012,-0.0052,0.0
2026-07-17,510.0,535.0,500.0,530.0,187600,0.0002,0.0079,0.0005,0.0001,0.0126,-0.0021,0.0028,0.0005,0.0105,0.0029,0.0102,-0.0047,-0.0201,-0.0167,-0.0172,0.0005,0.0001,0.0054,0.0012,-0.0003,0.0005,0.0003,0.0049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,505.0,530.0,505.0,510.0,334100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,515.0,525.0,505.0,505.0,427200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,530.0,535.0,510.0,520.0,574800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,530.0,560.0,525.0,535.0,650400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,530.0,545.0,510.0,535.0,336200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
