Date,Close,High,Low,Open,Volume,MG,XC,IN,AZ,BQ,IF,CP,KI,OD,EP,SS,XL,YP,DH,CC,PD,RO,NI,DR,SQ,ZP
2026-07-13,179.0,181.0,176.0,180.0,24900,0.0,-0.0002,0.0,0.0,-0.0004,0.0,0.0,-0.0001,0.0,0.0,0.0,-0.0017,0.0006,0.0,0.0,0.0023,0.0,-0.0004,0.0,0.0,0.0
2026-07-14,180.0,180.0,177.0,178.0,22100,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0001,0.0,0.0,0.0005,-0.0002,0.0,-0.0003,-0.0014,0.0,0.0,0.0,0.0001,0.0009
2026-07-15,180.0,184.0,177.0,180.0,34800,0.0,0.0001,0.0,0.0,0.0001,0.0,-0.0003,0.0001,0.0,0.0002,0.0,0.0008,-0.0001,0.0,-0.0006,0.0003,0.0,-0.0013,0.0008,0.0,0.0
2026-07-16,179.0,181.0,178.0,180.0,30700,0.0,0.0001,0.0,0.0027,0.0,0.0,-0.002,-0.0,0.0,-0.0001,0.0,-0.0022,-0.0003,0.0,0.0017,0.0,0.0001,0.0,0.0,0.0,0.0
2026-07-17,178.0,189.0,175.0,180.0,1030200,0.0001,-0.0005,0.0004,0.0138,0.0022,0.0003,-0.0001,0.0002,-0.0117,0.0003,-0.0018,0.0062,0.0008,0.0004,-0.0105,-0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,183.0,193.0,179.0,183.0,1313600,,,,,,,,,,,,,,,,,,,,,
2026-07-21,179.0,195.0,179.0,188.0,251700,,,,,,,,,,,,,,,,,,,,,
2026-07-22,183.0,188.0,177.0,183.0,821400,,,,,,,,,,,,,,,,,,,,,
2026-07-23,180.0,185.0,180.0,184.0,126400,,,,,,,,,,,,,,,,,,,,,
2026-07-24,180.0,187.0,177.0,183.0,132200,,,,,,,,,,,,,,,,,,,,,
