Date,Close,High,Low,Open,Volume,MG,YU,XC,AZ,XA,KK,NI,GR,OD,XL,YP,CC,RO,BQ,LG,PD,QA,SQ,AT,EP,DX,FZ,DH
2026-07-13,50.0,50.0,50.0,50.0,591800,0.0003,0.0,0.0007,0.0001,0.0,-0.0013,0.0059,0.0,0.0015,-0.0233,0.011,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005
2026-07-14,50.0,51.0,50.0,50.0,1292200,0.0003,0.0002,0.0024,0.0,0.0,-0.0022,0.0008,0.0,0.0025,0.0203,-0.0109,-0.0001,-0.0002,0.0,0.0,-0.0069,0.0001,-0.0031,0.0007,0.0084,-0.0122,-0.0001,0.0
2026-07-15,50.0,50.0,50.0,50.0,5237100,0.0003,0.0002,-0.162,0.0,-0.001,0.005,0.0006,-0.0024,-0.0435,0.0082,-0.0081,-0.0057,-0.0001,0.0,0.2125,-0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,50.0,50.0,50.0,50.0,670400,0.0,0.0002,0.0025,0.005,0.0,-0.0005,0.0027,0.0,0.001,-0.0046,-0.0206,0.0143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,50.0,50.0,50.0,50.0,401000,0.0003,0.0008,0.0001,0.005,0.0,0.0001,0.0021,0.0,-0.019,0.0008,0.0026,0.0072,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,50.0,50.0,50.0,50.0,162000,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,50.0,51.0,50.0,50.0,9034800,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,51.0,51.0,50.0,51.0,4388000,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,50.0,52.0,50.0,51.0,38778600,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,51.0,55.0,50.0,50.0,74719100,,,,,,,,,,,,,,,,,,,,,,,
