Date,Close,High,Low,Open,Volume,SF,YJ,AZ,KK,EP,XL,DH,CC,PD,XC,TP,YP,HD,NI,KI,OD,AI,SH,RO,SQ,LG,BQ,HP,PC,CP
2026-07-13,545.0,555.0,545.0,550.0,70500,0.0,0.0,0.0,0.0,0.0,0.0039,0.0,0.0,0.0082,0.0004,0.0001,0.0,0.0001,-0.0121,0.0,0.0249,0.0,0.0,0.0,-0.0258,0.0001,0.0,0.0,0.0,0.0002
2026-07-14,545.0,560.0,545.0,560.0,21800,0.0,0.0,-0.0002,0.0005,0.0,0.0072,0.0,0.0005,0.0016,-0.001,0.0,-0.0011,-0.0,-0.0087,0.0002,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0
2026-07-15,550.0,550.0,535.0,545.0,34200,0.0,0.0,0.0,0.0001,0.0005,-0.0155,0.0,0.0,0.0101,0.0012,0.0,0.0,0.0001,0.0001,0.0002,0.0,0.0005,0.0,0.0001,0.0001,0.0027,-0.0001,0.0001,0.0,0.0
2026-07-16,540.0,550.0,535.0,550.0,123000,0.0,-0.0162,0.0,0.0017,-0.0003,-0.0016,0.0015,0.0008,0.0536,-0.0437,-0.0001,0.0012,-0.0002,0.0004,0.0003,0.0001,0.0009,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,550.0,550.0,545.0,550.0,22100,0.0001,0.0001,0.0007,-0.0006,-0.0003,0.0019,-0.0015,0.0001,-0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,550.0,555.0,540.0,550.0,75900,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,550.0,550.0,540.0,550.0,137100,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,550.0,555.0,540.0,540.0,106600,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,545.0,550.0,540.0,545.0,198800,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,540.0,550.0,540.0,550.0,28200,,,,,,,,,,,,,,,,,,,,,,,,,
