Date,Close,High,Low,Open,Volume,NI,OD,YB,QA,DR,SQ,YP,XC,LG,KK,XL,ZP,EP,DH,PD,BQ,CC,AO,CP,BK,TP,IF,DX,MU,RO,XA,HP,YJ,AT,RF,AG,KI,MG,HD
2026-07-13,86.0,88.0,83.0,86.0,10835400,0.0012,0.0169,0.0004,0.0026,-0.0171,-0.0318,0.0411,-0.0233,0.0002,-0.0098,-0.0181,-0.0005,0.0074,-0.0003,0.0185,-0.0168,-0.0275,0.0,0.0594,-0.0015,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0008,-0.0004,-0.0001,0.0,0.001,0.0,-0.0026
2026-07-14,87.0,89.0,84.0,86.0,5442900,0.0,-0.0001,-0.0161,-0.0001,0.0206,0.0067,-0.0043,-0.0109,-0.0019,-0.0005,0.0315,-0.0001,0.0053,-0.0043,0.005,0.009,-0.0328,0.0,0.0044,0.0005,-0.0013,0.0,0.0,0.0,0.0,0.0,0.0001,-0.0008,-0.01,0.0,0.0,0.0,0.0,0.0
2026-07-15,85.0,88.0,85.0,87.0,2806700,-0.0085,-0.0003,0.0001,0.0,-0.008,0.0044,0.0014,0.0089,-0.0012,-0.0004,-0.0099,0.0,0.0014,0.0102,0.0143,-0.0008,0.0006,0.0,-0.012,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,83.0,85.0,83.0,85.0,3044300,-0.0012,-0.0021,0.0001,0.0003,0.0074,-0.005,-0.0064,0.0145,0.0,-0.0005,0.0384,0.0021,-0.0018,-0.0071,0.0099,0.0081,-0.0222,-0.005,-0.0318,0.0008,0.0012,0.0004,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,82.0,86.0,81.0,84.0,7092700,0.0015,0.0,-0.0823,0.0001,0.0028,0.0004,-0.0383,0.0159,-0.0012,0.0001,0.0811,0.0025,-0.0143,-0.0027,0.0042,-0.0115,0.0248,0.0049,0.0119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,90.0,92.0,81.0,83.0,38417800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,91.0,113.0,89.0,93.0,255044300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,90.0,92.0,86.0,91.0,12902500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,89.0,92.0,89.0,92.0,6562700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,86.0,89.0,85.0,87.0,3911700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
