Date,Close,High,Low,Open,Volume,NI,HD,OD,YB,PG,QA,DR,SQ,YP,HP,XC,LG,KK,XL,KZ,YJ,FS,AI,DH,AZ,IF,MG,LS,CP,BK,RO,YU,AK,AT,ZP,TP,EP,CD,IU,PD,BQ,BB,KI,GR,CC,AO,DX,XA,GA,AG,PC,SS,MI,SF,OK,BR,TF
2026-07-13,785.0,800.0,775.0,800.0,12200000,0.1413,-0.2344,0.0318,-0.0012,0.0,0.0007,0.444,-0.3836,0.1151,0.0002,0.0853,0.029,-0.4134,-0.119,0.0,0.0,0.0008,0.0,-0.0283,0.0724,-0.3379,0.047,0.0,0.3684,0.3375,0.0002,0.3922,-0.4833,0.0,-0.667,-0.0277,-0.3538,0.0,0.0,0.7824,0.0992,0.0,0.3057,0.2251,-0.8198,0.0002,0.0,0.004,0.0,0.395,0.0,0.0,-0.0079,0.0,0.0,0.0,0.0
2026-07-14,780.0,790.0,760.0,780.0,14424700,0.0466,0.0389,0.0324,-0.0027,0.0,0.0005,-0.3048,0.0522,-0.4241,-0.0014,0.0296,0.0087,-0.1431,0.1513,0.0,0.0,0.0,-1.1,0.0424,-0.7931,-0.0377,0.7797,0.0,0.2617,-0.0019,0.0,3.3,-0.7781,0.0,-1.5,-0.0389,-0.0611,0.0008,0.0,2.0,-0.0093,-0.3791,0.1587,-0.0066,-1.6,0.0002,0.0017,0.0938,0.0,0.155,0.0,0.0775,0.0,0.0,0.0,0.0,0.0
2026-07-15,760.0,775.0,760.0,760.0,8879100,0.0721,-0.1045,-0.0168,0.0008,0.0,0.0008,-0.0127,-0.0058,0.1052,-0.0363,0.1278,-0.1445,0.0427,0.4177,0.0,0.0296,0.0,0.0,-0.0069,-0.0727,0.0,0.4754,0.0,-0.3014,0.0377,0.0,0.8038,0.0301,-0.0023,0.0556,-1.5,0.131,0.0,0.0383,-0.0729,0.0004,1.0,-0.3133,0.0958,-0.9671,0.0002,0.0,0.0516,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,785.0,790.0,750.0,760.0,18585200,-0.0037,-0.3892,0.0823,-0.0004,0.0,0.0,-0.0541,0.1878,-0.1999,0.0016,0.079,0.4837,-0.5594,0.2154,0.0,0.015,0.0154,-2.1,-0.4701,-0.5504,-0.0876,-0.3884,0.002,0.2306,0.9001,0.0,-1.0,2.7,0.0012,-0.3416,-0.1223,-0.014,0.001,0.006,-0.0167,0.0062,1.2,-0.0002,0.3585,0.1806,0.0,-0.0017,-0.1477,-0.0889,0.0031,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,785.0,815.0,765.0,765.0,14174400,0.0604,-0.2813,0.0312,0.0239,-0.0795,-0.0013,0.0246,0.0747,-0.0124,-0.026,0.0217,0.1308,-0.1443,0.872,-0.3325,0.0157,-0.0008,-0.0039,0.3105,0.0101,-0.001,-0.0305,0.0008,0.8426,-0.1026,-0.0001,1.9,0.361,-0.0012,-4.1,0.0267,-0.2366,-0.0008,-0.0403,0.2887,-0.0947,-0.2046,-0.0014,0.066,0.6174,0.0753,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,785.0,790.0,770.0,770.0,9737000,-0.0822,0.0119,-0.032,0.0019,0.077,0.0149,-0.001,0.0176,-0.0552,0.0009,0.0433,-0.0388,-0.0216,-0.1342,0.1773,0.0,-0.0157,-0.0027,-0.342,-0.0123,0.077,-0.0239,-0.0,-0.5884,0.43,-0.0044,0.7742,0.7881,0.0071,-1.2,-1.1,0.0382,0.0,-0.001,0.0458,0.0,0.6601,0.0,-0.4218,0.9473,0.0,0.0,0.0,0.0,0.0047,-0.0031,0.0,0.0,0.0,0.0,0.0,-0.013
2026-07-21,785.0,795.0,775.0,775.0,15979500,-0.0634,-0.0113,0.0039,-0.034,0.0,-0.0072,0.0,-0.1033,-1.4,0.0002,-0.2138,-0.063,0.0121,0.4535,0.0,0.0,0.0,0.0825,0.2493,0.4219,0.0001,-0.0203,-0.0006,-0.2779,0.3607,-0.0056,0.3908,-0.9203,-0.0471,-4.5,-0.4318,0.1901,0.0,0.0364,4.0,0.0013,0.0,0.0,-0.002,0.0211,0.4708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0
2026-07-22,770.0,790.0,770.0,775.0,26885800,0.052,-0.0,-0.0759,-0.0191,0.0,0.0003,0.0589,0.0631,0.6418,-0.0001,0.0591,0.0307,0.0823,-0.2307,0.0,-0.0523,0.0008,0.0,0.0397,-0.2368,0.1453,0.0672,-0.0022,0.2702,-0.4765,-0.0,-11.3,-1.0,-0.0008,-1.8,9.3,0.0746,0.0008,0.0,0.9639,0.0154,0.0,0.0549,-0.364,3.4,0.0776,0.0,0.0031,0.0,0.0814,0.0,0.0,0.0,0.0,0.0385,0.1303,-0.0014
2026-07-23,770.0,790.0,760.0,770.0,15033000,-0.0458,0.0017,-0.0346,0.0004,0.0,-0.0005,0.6243,0.0644,0.2622,0.0114,0.0723,1.5,0.0512,0.405,0.0,-0.0003,0.0,0.0003,0.044,-0.1302,0.0,0.426,0.0,-0.0188,0.0784,-0.0063,-4.0,-0.3114,0.0,-2.1,-0.0275,0.0464,-0.0395,0.0,0.3268,-0.1163,2.9,0.0,-0.0114,-0.0684,-0.0003,-0.0016,0.0003,0.0,0.0076,0.0,0.0,0.0,-0.0001,0.0,0.0,0.0
2026-07-24,760.0,765.0,755.0,760.0,5074900,-0.0135,-0.0034,-0.0076,-0.023,0.0,0.0001,0.0607,-0.0023,0.0288,0.0,0.005,0.3231,-0.014,0.168,-0.0038,0.0,0.0,0.0,0.4913,0.0788,-0.0038,0.0,0.0,0.2946,-0.1195,-0.0,-0.4978,-0.0348,0.0,0.2829,-1.6,0.0569,0.0,0.0,0.0992,0.006,0.0,0.0,0.0591,0.08,0.0001,0.0,0.0008,0.0,0.2446,0.0013,0.0,0.0,0.0,0.0,0.0,0.0
