Date,Close,High,Low,Open,Volume,XL,PD,YB,RB,XC,CC,NI,OD,KK,EP,SQ,DH,YJ,YP,AK,DR,BQ
2026-07-13,12650.0,12700.0,12450.0,12525.0,7000,0.0226,-0.0075,0.0,-0.0515,-0.0025,0.0075,0.0289,0.0025,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2026-07-14,12425.0,12600.0,12400.0,12600.0,3400,0.0226,-0.0251,0.0,0.0,-0.0013,0.0025,-0.005,0.005,0.0012,0.0,0.0,0.0,0.0,0.0012,0.0,0.0,-0.0012
2026-07-15,12425.0,12575.0,12350.0,12425.0,36000,0.0124,-0.0248,0.0,-0.381,-0.0049,0.0199,0.3598,0.0037,0.0025,0.0,0.0,0.0,-0.0013,0.0162,-0.0037,0.0012,0.0
2026-07-16,12675.0,12675.0,12525.0,12575.0,7300,-0.0494,-0.0013,0.0,-0.0063,0.0,0.0291,0.0076,-0.0,0.0228,-0.0013,-0.0,-0.0013,0.0,0.0,0.0,0.0,0.0
2026-07-17,12600.0,12700.0,12500.0,12675.0,2400,-0.0038,-0.0,0.0013,-0.0114,-0.0025,0.014,-0.0013,0.0038,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,12775.0,12900.0,12650.0,12650.0,8300,,,,,,,,,,,,,,,,,
2026-07-21,12775.0,12825.0,12650.0,12775.0,4100,,,,,,,,,,,,,,,,,
2026-07-22,12800.0,13000.0,12700.0,12775.0,12800,,,,,,,,,,,,,,,,,
2026-07-23,12700.0,12850.0,12700.0,12800.0,8300,,,,,,,,,,,,,,,,,
2026-07-24,12700.0,12750.0,12600.0,12750.0,9800,,,,,,,,,,,,,,,,,
