Date,Close,High,Low,Open,Volume,CP,XL,CC,PD,YP,FZ,NI,XC,AR,GR,IF,DR,XA,EP,AT,SF,SQ,OD,HP,HD,RO,KK,YB,KI,AZ
2026-07-13,396.0,406.0,394.0,406.0,121500,0.0,0.0093,0.0032,0.0044,-0.0005,0.0,0.0021,-0.0227,0.0,0.0037,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0002,0.0,0.0,0.0002
2026-07-14,400.0,402.0,396.0,400.0,31400,0.0,0.0037,0.0004,-0.0008,0.0003,-0.0029,0.0007,0.0002,0.0002,0.0,0.0,0.0,0.0,0.0,0.0002,-0.0029,0.0,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,402.0,404.0,400.0,400.0,42400,0.0,0.0014,-0.0001,0.0024,0.0006,-0.0036,-0.005,-0.0012,-0.0002,0.0,0.0,0.001,0.0,0.0007,0.0003,0.0024,0.001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0
2026-07-16,398.0,406.0,396.0,402.0,255300,0.0034,0.0143,-0.0097,-0.0015,-0.0021,-0.0009,0.0055,0.002,0.006,0.0001,0.0062,0.0002,0.0002,-0.0007,-0.0166,-0.0094,0.0021,0.0006,0.0,-200.0,0.0002,0.0,0.0,0.0,0.0
2026-07-17,404.0,406.0,400.0,406.0,41000,-0.0036,0.0004,0.0038,-0.0004,-0.0012,-0.0011,0.008,-0.0,-0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,418.0,420.0,400.0,404.0,192300,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,418.0,422.0,406.0,422.0,195500,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,414.0,420.0,408.0,416.0,59100,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,416.0,418.0,412.0,414.0,9900,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,404.0,426.0,404.0,416.0,179400,,,,,,,,,,,,,,,,,,,,,,,,,
