Date,Close,High,Low,Open,Volume,RO,SQ,ZP,NI,XC,AT,PD,XL,YU,CC,DH,YP,RG,OD,MU,IN,AG,LG,YB,KK,KI,HP,DX,AI,CD
2026-07-13,510.0,510.0,505.0,505.0,14800,0.0003,0.0051,0.0,0.0,-0.0002,0.0,0.0,-0.0003,0.0,0.0002,0.0,0.0007,0.0,-0.0001,0.0,0.0,-0.0006,0.0001,-0.0051,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,510.0,515.0,505.0,510.0,27300,-0.0005,0.0,0.0,0.0,-0.0002,0.0,0.0001,0.0004,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,505.0,535.0,505.0,510.0,72100,0.0001,0.0,0.0,-0.0001,-0.0001,0.0,-0.0001,-0.0093,0.0,-0.0014,0.0001,-0.001,-0.001,-0.0,0.0128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,515.0,520.0,505.0,505.0,3300,0.0,-0.0002,0.0,0.0,0.0001,0.0,0.0001,-0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,520.0,520.0,510.0,520.0,67600,0.0003,0.0103,-0.0002,0.0012,-0.0027,0.0019,0.0005,0.0108,-0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,510.0,520.0,510.0,520.0,24800,0.0009,0.0003,-0.0005,500.0,0.0006,0.0016,0.0037,-0.0052,-0.0016,0.0026,0.0,0.0003,0.0,0.0001,0.0,-0.0027,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0001
2026-07-21,520.0,520.0,510.0,515.0,15800,0.0,0.0,0.0029,-0.0007,0.0006,0.0,0.0005,-0.0038,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22,520.0,530.0,510.0,520.0,13700,0.0,0.0,0.0,-0.0003,-0.0013,0.0,0.0004,-0.0003,0.0,0.0019,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,-0.0001,0.0
2026-07-23,520.0,525.0,510.0,515.0,77300,0.0,0.0,-0.0028,0.0002,0.0018,0.0,0.0001,-0.0146,-0.0055,0.0194,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0008,0.0005,0.0,0.0,0.0
2026-07-24,510.0,525.0,510.0,525.0,8800,0.0,0.0001,0.0,-0.0002,0.0009,0.0,-0.0007,0.0001,-0.0014,0.0,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013,0.0,0.0,0.0,0.0,0.0
