Date,Close,High,Low,Open,Volume,KI,EP,ID,QA,DX,OD,GR,CP,AI,YU,CC,YP,DR,RO,SQ,AG,NI,AZ,XC,BQ,AT,KK,PD,XL,YB,MG,ZP,SH,HP,IU,TP,LG,XA,FZ,AO,YJ,IH,ZR,DH,IF,IN
2026-07-13,535.0,535.0,492.0,510.0,1836000,0.0,-0.0001,0.0,-0.1079,0.0,0.0121,-0.0006,0.0002,0.0,0.0,0.0107,-0.0073,-0.0001,0.0,-0.0017,0.0,0.0058,0.0134,0.0019,-0.3808,-0.0009,0.0048,0.0588,0.006,0.0,-0.0549,-0.0002,0.0,0.1709,0.2964,0.0,0.0,-0.0128,-0.0001,0.0,-0.0201,0.0064,0.0,0.0,0.0,0.0
2026-07-14,520.0,560.0,500.0,545.0,905500,0.0,0.0053,0.0,-0.0617,0.0,-0.0026,-0.0003,-0.0017,0.0,0.0,-0.0016,-0.0633,0.0,0.0,0.0,0.0014,0.0006,0.007,0.0219,-0.0001,500.0,0.0002,0.0025,-0.0132,-0.0027,0.0082,-0.0082,0.0,0.1303,0.005,0.0,0.0,-0.0109,-0.0168,0.0006,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,500.0,520.0,492.0,520.0,783800,0.0,0.0003,0.0,-0.0815,0.0,0.0036,0.0001,0.0,0.0025,0.0,-0.0481,-0.0045,700.0,0.0,0.0,0.0,0.0009,0.0046,-0.0069,-0.0159,0.0,0.014,0.007,0.081,0.0048,0.0066,0.0,-0.0981,0.0,0.1297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,476.0,500.0,470.0,500.0,674100,0.0,0.0104,0.0,0.0,0.0012,0.0253,-0.0099,0.0492,0.0031,-0.0554,-0.028,-0.0338,0.0004,0.0,0.0005,0.0,0.0007,0.0024,0.0004,0.0003,0.0,0.0121,-0.0021,-0.0011,0.0005,-0.0453,0.0,-0.0002,-0.001,0.0683,0.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,448.0,476.0,436.0,476.0,1817600,0.0,0.0143,0.0006,-0.1362,0.0034,0.0705,-0.1164,0.0313,0.002,-0.0522,0.4514,-0.33,0.0008,0.0,0.0001,-0.0012,0.0107,0.0018,0.0222,0.005,200.0,0.0167,0.0002,0.0054,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,414.0,464.0,414.0,450.0,1110700,-0.0,0.0033,0.0,-0.0194,0.0126,0.0506,-0.039,-0.0266,0.0045,-0.2193,0.0576,0.038,0.0009,0.0001,0.0031,0.0,0.0006,0.0006,0.0228,-0.003,0.0,0.006,0.0072,0.1219,-0.0202,-0.0022,0.0,0.0,0.0,0.0,0.0,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-21,440.0,440.0,410.0,430.0,548300,-0.0,-0.0024,-0.0005,-0.0158,-0.0091,0.0021,-0.0276,0.0,-0.0022,0.0,0.027,0.0601,0.0005,-0.0001,0.0011,0.0,0.0052,0.0003,-0.0102,0.0005,0.0008,-0.0072,-0.0,-0.021,0.0,0.0032,0.0,0.0,0.0,0.0,0.0,-0.0043,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,-0.0,-0.0002
2026-07-22,422.0,446.0,400.0,440.0,1042900,0.0,-0.0,0.0,-0.0,0.0039,-0.0046,0.0,-0.0526,0.0039,0.0,0.0878,0.0517,-0.0004,0.0001,0.0056,0.0,0.0126,-0.001,-0.0101,0.0008,0.0018,0.0187,0.0073,0.065,0.0217,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011,-0.0001,-0.2141,0.0
2026-07-23,416.0,440.0,404.0,422.0,236600,0.0043,-0.0,0.0,-0.0155,0.0026,0.0084,0.0,0.0,0.0002,0.0,0.0085,0.003,0.0001,-0.0,0.0,0.0,-0.0122,0.0,0.0218,0.0006,0.0,0.0015,0.0044,-0.0173,-0.0109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0
2026-07-24,412.0,422.0,406.0,422.0,88200,0.0,-0.0,0.0,-0.0,-0.0,0.0008,0.0,0.0,-0.0011,0.0,0.0083,-0.0089,-0.0001,0.0002,0.0,0.0,-0.0074,0.0,0.0009,0.0,0.0041,0.0051,0.0003,-0.0024,0.0,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
