Date,Close,High,Low,Open,Volume,NI,XA,OD,YB,QA,DR,SQ,YP,HP,XC,LG,KK,XL,AK,AT,ZP,TP,EP,DH,PD,BQ,AZ,AG,IF,KI,MG,GR,CC,FZ,CP,BK,RO,GI,YJ,AO,DX,ID,YU,FS,CD,IU,PC,LS,AI,JB,BR,MU,IT,SF
2026-07-13,109.0,111.0,104.0,109.0,17388200,0.001,-0.0022,-0.0217,0.0034,-0.0001,0.0187,-0.0051,-0.0177,0.0,-0.0945,0.0061,0.0018,-0.3028,0.0532,0.0016,0.0,0.0028,0.0265,-0.006,-0.0365,0.0365,-0.0009,-0.0541,0.0,0.0025,-0.0109,0.0025,0.3627,0.0,0.0231,0.0093,0.0004,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,112.0,115.0,108.0,111.0,26341400,-0.0011,0.0135,0.0171,-0.0095,0.0047,-0.0143,0.0319,-0.2351,0.0018,-0.0496,-0.0136,-0.0656,-0.0659,-0.0689,0.0044,0.0153,-0.0058,-0.0239,-0.0075,0.2483,0.003,-0.0004,0.0011,0.0,0.0,-0.0001,-0.0112,0.26,0.0,-0.0214,-0.0097,-0.0002,0.0,0.001,0.0,0.0013,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,117.0,118.0,112.0,113.0,50744200,0.1772,0.0175,-0.0121,-0.002,-0.0057,-0.0009,-0.0077,-0.0489,0.0023,0.0673,0.0008,-0.166,-0.615,0.2378,0.0013,0.0042,0.0012,0.0092,0.0005,0.0385,0.0009,0.0243,0.0,0.0013,0.0061,-0.0144,0.0851,0.2605,0.0,-0.0691,-0.0001,-0.0007,0.0,0.0,-0.001,0.0081,0.0001,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,113.0,119.0,113.0,118.0,21336900,-0.0145,-0.0086,0.0068,-0.0056,0.0027,-0.0104,-0.0065,-0.0475,0.0022,0.0814,-0.0022,0.0275,0.5081,-0.202,-0.0142,0.0119,0.0011,-0.01,0.0006,-0.0935,0.0253,0.0075,-0.228,0.0004,0.0003,-0.0042,0.0057,-0.0228,0.0,-0.0152,-0.0,0.002,0.002,0.0001,-0.0014,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,113.0,117.0,111.0,115.0,17702900,-0.1513,0.0008,0.0049,-0.0022,-0.0024,0.0011,0.0107,-0.0188,0.0091,-0.029,0.0011,-0.0069,0.1685,-0.0219,-0.0033,0.0029,0.0002,-0.0014,-0.0017,0.0021,-0.013,-0.007,-0.0996,-300.0,0.0003,-0.0004,-0.0114,0.1778,-0.0027,-0.0063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,115.0,117.0,113.0,113.0,19918400,0.0059,0.0,0.0099,-0.0041,-100.0,0.0046,-0.0163,-0.0228,-0.0069,0.0138,-0.0091,-0.0309,-0.2118,0.041,0.0,0.0,0.0,-0.0008,0.0019,-0.0221,-0.0141,0.0029,0.1733,-0.0,0.0038,0.0038,0.0002,0.0744,0.0,0.0108,0.0,-0.0004,-0.002,0.0,-0.0023,-0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012
2026-07-21,116.0,117.0,111.0,115.0,23108700,-0.0151,-0.0023,-0.0074,-0.0159,0.0008,0.0023,-0.0067,-0.0226,0.0139,0.0022,-0.0032,0.0767,-0.6686,0.1835,0.0034,0.0217,0.0,0.0104,-0.0003,-0.0176,-0.0077,-0.0068,-0.114,0.0,-0.0043,-0.0027,0.0,0.5847,0.0,-0.0104,0.0009,-0.0013,0.0,0.0236,0.0,-0.0103,0.0,-0.0058,0.0,0.0,0.0,-0.0035,0.0023,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22,127.0,139.0,119.0,121.0,497630500,0.0154,0.0737,0.0883,0.0002,0.0016,0.0097,0.0166,0.7899,-0.0364,0.075,-0.0089,0.1297,1.6,-0.2906,-0.0299,-0.0667,-0.0134,0.0857,0.0071,0.2082,0.2775,0.4125,-0.5585,-0.0302,-0.0115,0.3504,-0.1358,-3.1,-0.0009,0.0325,-0.0013,0.0005,-0.0,-0.0258,0.0113,-0.0027,0.0,0.0053,0.0,0.008,0.0,-0.0191,0.0216,0.0,-0.0007,0.0051,-0.0004,0.0252,0.0
2026-07-23,120.0,131.0,118.0,127.0,144036400,-0.0193,-0.0321,0.3621,0.0131,-0.0052,0.0,-0.0419,-0.2312,0.0171,0.5112,0.0075,-0.0319,-0.4309,0.0016,0.0276,0.0163,0.0012,-0.1199,-0.0181,-0.0762,-0.0049,-0.0609,-0.2245,0.0,0.0199,-0.0191,-0.0073,0.3399,0.0005,0.0065,-0.0003,0.0031,0.0012,-0.0014,-0.0,0.0018,0.0,0.0003,0.0,-0.0081,0.0008,0.0,-0.0242,0.0256,0.0,0.0,0.0,0.0,0.0
2026-07-24,115.0,122.0,112.0,121.0,29022400,0.0063,0.0016,0.0969,0.0268,0.0031,0.0013,0.0076,0.0466,-0.0115,-0.1175,0.0045,0.0151,0.1579,0.0831,0.0144,0.0131,0.0008,0.0049,0.0016,-0.125,0.0006,-0.2989,-0.2278,-0.0,0.0008,-0.004,0.0009,0.1908,0.0,0.0927,0.0,0.0,-0.0012,0.0013,0.0,0.0034,0.0,0.0,0.0092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
