Date,Close,High,Low,Open,Volume,XC,YU,SQ,LG,XA,AZ,KK,LS,CP,ZP,AT,KI,BB,BK,DX,XL,YP,DH,AI,CC,AK,OD,YB,NI,BQ,RF,RX,IF,AO,GR,PD,HP,HD,RO,DR,BS,EP,TF,TP,RG,FS,QA,YJ,SS,AG,PC
2026-07-13,4490.0,4510.0,4470.0,4490.0,839600,-0.1185,0.2394,-0.2897,-0.0376,0.0027,0.0,-0.0076,0.0,0.0,-0.0245,0.0229,-0.0063,0.0,-0.2526,0.0,-0.1679,-0.0624,-0.0,0.0448,1.7,-0.9428,-0.1627,0.0099,-0.0108,-0.0045,0.0,0.0,0.0,0.0,0.0405,0.1561,-0.0045,-0.0103,-0.0036,-0.0202,0.0,0.0144,0.0,-0.0446,0.0,-0.0675,-0.0009,0.0,0.0,0.0,0.0
2026-07-14,4550.0,4550.0,4490.0,4520.0,570000,-0.0163,0.4644,-0.0001,0.0277,-0.0177,0.0169,-0.0135,-0.0009,-0.0172,0.0428,-0.0771,-0.0005,0.0,0.0628,0.0,-0.2866,-0.0843,-0.0109,0.0,0.4206,0.2012,-0.1413,-0.0271,-0.209,-0.0018,-0.0023,0.0,0.0,-0.0005,-0.0836,-0.054,0.0013,0.0077,-0.0005,0.0096,0.0113,0.0005,0.0,-0.0046,0.0,-0.1356,0.0,-0.0123,0.0,0.0,-0.0695
2026-07-15,4590.0,4600.0,4530.0,4550.0,478300,0.0365,0.0675,-0.0147,-0.0068,-0.0059,-0.0005,-0.012,-0.0005,0.0129,-0.051,-0.0233,0.0,0.0,0.0279,0.0023,-0.2027,-0.0093,-0.0023,0.0,0.687,-0.2408,-0.005,0.0023,-0.003,0.0046,0.0,0.0,-0.0036,-0.0,-0.0793,0.0306,0.0,-0.005,0.0,0.0099,0.0,0.0006,0.0,-0.0549,-0.0023,0.0,-0.0147,-0.0335,-0.1102,-0.0009,0.0
2026-07-16,4700.0,4710.0,4590.0,4590.0,783200,-0.0153,0.1687,-0.0879,-0.0009,-0.085,-0.0282,0.0337,-0.0005,0.2375,-0.3475,-0.0103,0.0,0.0,0.1195,-0.0094,-0.3865,-0.1716,-0.0154,0.0699,1.1,-0.1441,-0.1063,0.0047,0.0571,-0.0014,0.0046,0.0,0.0023,0.0,-0.1775,-0.0468,-0.0046,0.0033,0.0005,-0.0015,0.0116,-0.0235,0.0019,-0.0978,-0.007,-0.0492,0.0,0.0,0.0,0.0,0.0
2026-07-17,4700.0,4720.0,4620.0,4720.0,1136700,1.1,0.0965,0.0408,0.0014,0.0023,0.0005,0.1633,0.0009,-0.1299,-1.5,0.033,0.0005,-0.1889,-0.0405,-0.0005,0.2731,0.0564,0.0032,-0.0003,0.8578,-0.6498,-0.1125,0.0088,0.0463,0.0214,0.007,-0.3685,-0.0005,0.3861,-0.0264,-0.0551,0.0032,-0.0061,-0.0009,0.0093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,4660.0,4750.0,4650.0,4700.0,789700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,4660.0,4700.0,4610.0,4670.0,1493700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,4620.0,4670.0,4610.0,4670.0,774900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,4630.0,4670.0,4620.0,4630.0,3986800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,4630.0,4640.0,4590.0,4630.0,913200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
