Date,Close,High,Low,Open,Volume,CP,BQ,OD,PD,XC,CC,XL,QA,DR,KK,YP,SQ,RO,NI
2026-07-13,440.0,460.0,440.0,460.0,10800,0.0,0.0,0.0,0.0001,-0.0001,-0.0003,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,454.0,454.0,454.0,454.0,1100,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,442.0,444.0,440.0,440.0,4200,0.0,0.0,0.0,0.0,0.0002,0.0,-0.0009,0.0,0.0006,0.0,0.0001,-0.0001,0.0,0.0
2026-07-16,436.0,470.0,432.0,442.0,5200,0.0007,0.0,0.0,-0.0001,0.0004,0.0,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,434.0,478.0,434.0,436.0,14700,-0.0007,0.0003,0.0,0.0,0.0009,-0.0005,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,434.0,462.0,434.0,436.0,7100,0.0,0.0,0.0,0.0,0.0002,-0.0004,0.0005,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0003
2026-07-21,436.0,450.0,434.0,450.0,2700,0.0,0.0,0.0,0.0,-0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002
2026-07-22,446.0,464.0,434.0,434.0,23800,0.0,0.0003,0.0,-0.0001,0.0087,-0.0009,-0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-23,440.0,468.0,440.0,446.0,16400,0.0,0.0005,0.0,0.0002,-0.0,-0.0,-0.0004,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0002
2026-07-24,434.0,464.0,434.0,464.0,6300,0.0,0.0,0.0,-0.0002,0.0001,0.002,-0.0021,0.0,0.0,0.0,-0.0,0.0,0.0001,0.0
